iter	Passed	Remaining
0	0	104
1	0	94
2	1	95
3	1	94
4	2	91
5	2	89
6	3	88
7	3	82
8	3	81
9	4	81
10	4	80
11	5	80
12	5	80
13	6	79
14	6	79
15	6	78
16	7	78
17	7	77
18	8	77
19	8	76
20	8	73
21	9	73
22	9	73
23	9	72
24	10	72
25	10	71
26	10	69
27	11	69
28	11	69
29	12	68
30	12	68
31	12	66
32	13	66
33	13	65
34	13	65
35	14	65
36	14	64
37	15	64
38	15	64
39	16	64
40	16	64
41	16	63
42	17	63
43	17	63
44	18	62
45	18	62
46	19	62
47	19	61
48	19	61
49	20	60
50	20	60
51	21	60
52	21	59
53	22	59
54	22	59
55	22	58
56	23	58
57	23	57
58	24	57
59	24	57
60	24	56
61	25	56
62	25	55
63	26	55
64	26	55
65	27	54
66	27	54
67	27	53
68	28	53
69	28	53
70	29	52
71	29	52
72	29	51
73	30	51
74	30	51
75	31	50
76	31	50
77	31	49
78	32	49
79	32	49
80	33	48
81	33	48
82	34	47
83	34	47
84	34	47
85	35	46
86	35	46
87	36	45
88	36	45
89	36	45
90	37	44
91	37	44
92	38	43
93	38	43
94	38	42
95	39	42
96	39	42
97	40	41
98	40	41
99	40	40
100	41	40
101	41	40
102	42	39
103	42	39
104	43	38
105	43	38
106	43	38
107	44	37
108	44	37
109	45	36
110	45	36
111	46	36
112	46	35
113	46	35
114	47	34
115	47	34
116	48	34
117	48	33
118	48	33
119	49	32
120	49	32
121	50	32
122	50	31
123	51	31
124	51	30
125	52	30
126	52	30
127	52	29
128	53	29
129	53	28
130	54	28
131	54	28
132	55	27
133	55	27
134	55	26
135	56	26
136	56	26
137	57	25
138	57	25
139	58	24
140	59	24
141	59	24
142	60	23
143	60	23
144	60	23
145	61	22
146	61	22
147	62	21
148	62	21
149	63	21
150	63	20
151	64	20
152	64	19
153	64	19
154	65	19
155	65	18
156	66	18
157	66	17
158	67	17
159	67	16
160	67	16
161	68	16
162	68	15
163	69	15
164	69	14
165	70	14
166	70	13
167	71	13
168	71	13
169	72	12
170	72	12
171	72	11
172	73	11
173	73	11
174	74	10
175	74	10
176	75	9
177	75	9
178	76	8
179	76	8
180	77	8
181	77	7
182	78	7
183	78	6
184	79	6
185	79	5
186	79	5
187	80	5
188	80	4
189	81	4
190	81	3
191	81	3
192	82	2
193	82	2
194	83	2
195	83	1
196	84	1
197	84	0
198	84	0
199	85	0
