datetime,value
2022-12-31 00:00:00+00:00,19.0
2022-12-31 01:00:00+00:00,-12.71
2022-12-31 02:00:00+00:00,0.0
2022-12-31 03:00:00+00:00,49.48
2022-12-31 04:00:00+00:00,0.17
2022-12-31 05:00:00+00:00,0.31
2022-12-31 06:00:00+00:00,1.17
2022-12-31 07:00:00+00:00,38.97
2022-12-31 08:00:00+00:00,10.28
2022-12-31 09:00:00+00:00,-12.06
2022-12-31 10:00:00+00:00,6.67
2022-12-31 11:00:00+00:00,1.12
2022-12-31 12:00:00+00:00,0.9
2022-12-31 13:00:00+00:00,-5.02
2022-12-31 14:00:00+00:00,16.26
2022-12-31 15:00:00+00:00,5.05
2022-12-31 16:00:00+00:00,1.98
2022-12-31 17:00:00+00:00,19.19
2022-12-31 18:00:00+00:00,-20.0
2022-12-31 19:00:00+00:00,4.4
2022-12-31 20:00:00+00:00,7.95
2022-12-31 21:00:00+00:00,-36.43
2022-12-31 22:00:00+00:00,5.0
2022-12-31 23:00:00+00:00,12.06
2023-01-01 00:00:00+00:00,10.0
2023-01-01 01:00:00+00:00,-0.66
2023-01-01 02:00:00+00:00,-38.54
2023-01-01 03:00:00+00:00,19.53
2023-01-01 04:00:00+00:00,-1.86
2023-01-01 05:00:00+00:00,-30.97
2023-01-01 06:00:00+00:00,-45.88
2023-01-01 07:00:00+00:00,26.29
2023-01-01 08:00:00+00:00,54.28
2023-01-01 09:00:00+00:00,0.73
2023-01-01 10:00:00+00:00,-39.94
2023-01-01 11:00:00+00:00,2.26
2023-01-01 12:00:00+00:00,17.94
2023-01-01 13:00:00+00:00,5.78
2023-01-01 14:00:00+00:00,23.85
2023-01-01 15:00:00+00:00,36.54
2023-01-01 16:00:00+00:00,-5.36
2023-01-01 17:00:00+00:00,52.71
2023-01-01 18:00:00+00:00,-10.0
2023-01-01 19:00:00+00:00,0.0
2023-01-01 20:00:00+00:00,-3.9
2023-01-01 21:00:00+00:00,48.47
2023-01-01 22:00:00+00:00,11.21
2023-01-01 23:00:00+00:00,-5.09
2023-01-02 00:00:00+00:00,-28.08
2023-01-02 01:00:00+00:00,52.93
2023-01-02 02:00:00+00:00,-6.16
2023-01-02 03:00:00+00:00,-10.02
2023-01-02 04:00:00+00:00,78.1
2023-01-02 05:00:00+00:00,-3.14
2023-01-02 06:00:00+00:00,-10.0
2023-01-02 07:00:00+00:00,-5.26
2023-01-02 08:00:00+00:00,-5.43
2023-01-02 09:00:00+00:00,145.61
2023-01-02 10:00:00+00:00,15.0
2023-01-02 11:00:00+00:00,20.71
2023-01-02 12:00:00+00:00,-0.23
2023-01-02 13:00:00+00:00,5.0
2023-01-02 14:00:00+00:00,7.09
2023-01-02 15:00:00+00:00,163.0
2023-01-02 16:00:00+00:00,171.32
2023-01-02 17:00:00+00:00,174.74
2023-01-02 18:00:00+00:00,19.95
2023-01-02 19:00:00+00:00,153.0
2023-01-02 20:00:00+00:00,141.67
2023-01-02 21:00:00+00:00,-28.44
2023-01-02 22:00:00+00:00,40.0
2023-01-02 23:00:00+00:00,130.01
2023-01-03 00:00:00+00:00,-27.91
2023-01-03 01:00:00+00:00,120.88
2023-01-03 02:00:00+00:00,49.95
2023-01-03 03:00:00+00:00,4.11
2023-01-03 04:00:00+00:00,89.95
2023-01-03 05:00:00+00:00,138.92
2023-01-03 06:00:00+00:00,59.96
2023-01-03 07:00:00+00:00,69.95
2023-01-03 08:00:00+00:00,89.97
2023-01-03 09:00:00+00:00,54.99
2023-01-03 10:00:00+00:00,3.9
2023-01-03 11:00:00+00:00,134.1
2023-01-03 12:00:00+00:00,-13.11
2023-01-03 13:00:00+00:00,99.63
2023-01-03 14:00:00+00:00,95.62
2023-01-03 15:00:00+00:00,22.4
2023-01-03 16:00:00+00:00,107.91
2023-01-03 17:00:00+00:00,94.96
2023-01-03 18:00:00+00:00,85.0
2023-01-03 19:00:00+00:00,10.0
2023-01-03 20:00:00+00:00,115.63
2023-01-03 21:00:00+00:00,119.44
2023-01-03 22:00:00+00:00,70.1
2023-01-03 23:00:00+00:00,143.06
2023-01-04 00:00:00+00:00,82.64
2023-01-04 01:00:00+00:00,54.91
2023-01-04 02:00:00+00:00,257.77
2023-01-04 03:00:00+00:00,93.94
2023-01-04 04:00:00+00:00,109.98
2023-01-04 05:00:00+00:00,35.0
2023-01-04 06:00:00+00:00,299.76
2023-01-04 07:00:00+00:00,94.55
2023-01-04 08:00:00+00:00,61.39
2023-01-04 09:00:00+00:00,49.95
2023-01-04 10:00:00+00:00,99.63
2023-01-04 11:00:00+00:00,65.81
2023-01-04 12:00:00+00:00,156.06
2023-01-04 13:00:00+00:00,96.46
2023-01-04 14:00:00+00:00,79.3
2023-01-04 15:00:00+00:00,178.56
2023-01-04 16:00:00+00:00,167.36
2023-01-04 17:00:00+00:00,159.91
2023-01-04 18:00:00+00:00,99.63
2023-01-04 19:00:00+00:00,220.0
2023-01-04 20:00:00+00:00,119.95
2023-01-04 21:00:00+00:00,-5.08
2023-01-04 22:00:00+00:00,119.9
2023-01-04 23:00:00+00:00,150.35
2023-01-05 00:00:00+00:00,143.35
2023-01-05 01:00:00+00:00,139.85
2023-01-05 02:00:00+00:00,85.0
2023-01-05 03:00:00+00:00,120.0
2023-01-05 04:00:00+00:00,129.97
2023-01-05 05:00:00+00:00,220.0
2023-01-05 06:00:00+00:00,111.55
2023-01-05 07:00:00+00:00,153.46
2023-01-05 08:00:00+00:00,39.95
2023-01-05 09:00:00+00:00,184.23
2023-01-05 10:00:00+00:00,145.8
2023-01-05 11:00:00+00:00,187.61
2023-01-05 12:00:00+00:00,149.98
2023-01-05 13:00:00+00:00,45.0
2023-01-05 14:00:00+00:00,36.11
2023-01-05 15:00:00+00:00,78.94
2023-01-05 16:00:00+00:00,40.0
2023-01-05 17:00:00+00:00,150.35
2023-01-05 18:00:00+00:00,113.49
2023-01-05 19:00:00+00:00,-0.01
2023-01-05 20:00:00+00:00,152.0
2023-01-05 21:00:00+00:00,164.89
2023-01-05 22:00:00+00:00,142.05
2023-01-05 23:00:00+00:00,4.97
2023-01-06 00:00:00+00:00,119.95
2023-01-06 01:00:00+00:00,98.37
2023-01-06 02:00:00+00:00,86.76
2023-01-06 03:00:00+00:00,236.18
2023-01-06 04:00:00+00:00,125.49
2023-01-06 05:00:00+00:00,105.04
2023-01-06 06:00:00+00:00,166.06
2023-01-06 07:00:00+00:00,144.13
2023-01-06 08:00:00+00:00,141.9
2023-01-06 09:00:00+00:00,87.44
2023-01-06 10:00:00+00:00,142.05
2023-01-06 11:00:00+00:00,122.22
2023-01-06 12:00:00+00:00,116.09
2023-01-06 13:00:00+00:00,89.92
2023-01-06 14:00:00+00:00,86.89
2023-01-06 15:00:00+00:00,203.46
2023-01-06 16:00:00+00:00,190.51
2023-01-06 17:00:00+00:00,153.26
2023-01-06 18:00:00+00:00,150.49
2023-01-06 19:00:00+00:00,139.39
2023-01-06 20:00:00+00:00,99.96
2023-01-06 21:00:00+00:00,50.0
2023-01-06 22:00:00+00:00,133.98
2023-01-06 23:00:00+00:00,120.74
2023-01-07 00:00:00+00:00,117.29
2023-01-07 01:00:00+00:00,150.0
2023-01-07 02:00:00+00:00,105.02
2023-01-07 03:00:00+00:00,47.45
2023-01-07 04:00:00+00:00,99.0
2023-01-07 05:00:00+00:00,89.91
2023-01-07 06:00:00+00:00,72.92
2023-01-07 07:00:00+00:00,30.5
2023-01-07 08:00:00+00:00,158.38
2023-01-07 09:00:00+00:00,134.99
2023-01-07 10:00:00+00:00,149.98
2023-01-07 11:00:00+00:00,169.98
2023-01-07 12:00:00+00:00,134.99
2023-01-07 13:00:00+00:00,164.81
2023-01-07 14:00:00+00:00,20.0
2023-01-07 15:00:00+00:00,168.67
2023-01-07 16:00:00+00:00,133.98
2023-01-07 17:00:00+00:00,160.0
2023-01-07 18:00:00+00:00,147.3
2023-01-07 19:00:00+00:00,134.99
2023-01-07 20:00:00+00:00,165.13
2023-01-07 21:00:00+00:00,196.99
2023-01-07 22:00:00+00:00,130.07
2023-01-07 23:00:00+00:00,108.98
2023-01-08 00:00:00+00:00,107.69
2023-01-08 01:00:00+00:00,89.11
2023-01-08 02:00:00+00:00,81.91
2023-01-08 03:00:00+00:00,112.0
2023-01-08 04:00:00+00:00,115.1
2023-01-08 05:00:00+00:00,108.98
2023-01-08 06:00:00+00:00,50.06
2023-01-08 07:00:00+00:00,132.1
2023-01-08 08:00:00+00:00,99.93
2023-01-08 09:00:00+00:00,81.35
2023-01-08 10:00:00+00:00,134.66
2023-01-08 11:00:00+00:00,141.82
2023-01-08 12:00:00+00:00,144.73
2023-01-08 13:00:00+00:00,89.94
2023-01-08 14:00:00+00:00,112.01
2023-01-08 15:00:00+00:00,144.99
2023-01-08 16:00:00+00:00,99.94
2023-01-08 17:00:00+00:00,150.0
2023-01-08 18:00:00+00:00,172.67
2023-01-08 19:00:00+00:00,138.88
2023-01-08 20:00:00+00:00,150.0
2023-01-08 21:00:00+00:00,134.99
2023-01-08 22:00:00+00:00,129.91
2023-01-08 23:00:00+00:00,40.09
2023-01-09 00:00:00+00:00,64.38
2023-01-09 01:00:00+00:00,50.11
2023-01-09 02:00:00+00:00,178.07
2023-01-09 03:00:00+00:00,30.88
2023-01-09 04:00:00+00:00,144.73
2023-01-09 05:00:00+00:00,140.55
2023-01-09 06:00:00+00:00,170.0
2023-01-09 07:00:00+00:00,67.69
2023-01-09 08:00:00+00:00,87.19
2023-01-09 09:00:00+00:00,37.05
2023-01-09 10:00:00+00:00,35.46
2023-01-09 11:00:00+00:00,120.74
2023-01-09 12:00:00+00:00,164.75
2023-01-09 13:00:00+00:00,178.79
2023-01-09 14:00:00+00:00,37.87
2023-01-09 15:00:00+00:00,134.21
2023-01-09 16:00:00+00:00,167.83
2023-01-09 17:00:00+00:00,103.1
2023-01-09 18:00:00+00:00,115.12
2023-01-09 19:00:00+00:00,146.0
2023-01-09 20:00:00+00:00,99.13
2023-01-09 21:00:00+00:00,132.0
2023-01-09 22:00:00+00:00,108.31
2023-01-09 23:00:00+00:00,158.34
2023-01-10 00:00:00+00:00,129.97
2023-01-10 01:00:00+00:00,80.89
2023-01-10 02:00:00+00:00,159.9
2023-01-10 03:00:00+00:00,166.75
2023-01-10 04:00:00+00:00,120.74
2023-01-10 05:00:00+00:00,141.6
2023-01-10 06:00:00+00:00,70.02
2023-01-10 07:00:00+00:00,170.1
2023-01-10 08:00:00+00:00,164.76
2023-01-10 09:00:00+00:00,98.9
2023-01-10 10:00:00+00:00,158.34
2023-01-10 11:00:00+00:00,111.92
2023-01-10 12:00:00+00:00,114.11
2023-01-10 13:00:00+00:00,80.09
2023-01-10 14:00:00+00:00,105.0
2023-01-10 15:00:00+00:00,199.83
2023-01-10 16:00:00+00:00,158.69
2023-01-10 17:00:00+00:00,105.0
2023-01-10 18:00:00+00:00,141.75
2023-01-10 19:00:00+00:00,41.27
2023-01-10 20:00:00+00:00,115.08
2023-01-10 21:00:00+00:00,148.07
2023-01-10 22:00:00+00:00,71.19
2023-01-10 23:00:00+00:00,159.35
2023-01-11 00:00:00+00:00,158.34
2023-01-11 01:00:00+00:00,120.23
2023-01-11 02:00:00+00:00,121.86
2023-01-11 03:00:00+00:00,123.78
2023-01-11 04:00:00+00:00,116.82
2023-01-11 05:00:00+00:00,65.0
2023-01-11 06:00:00+00:00,176.98
2023-01-11 07:00:00+00:00,85.0
2023-01-11 08:00:00+00:00,80.0
2023-01-11 09:00:00+00:00,179.71
2023-01-11 10:00:00+00:00,41.14
2023-01-11 11:00:00+00:00,44.05
2023-01-11 12:00:00+00:00,180.0
2023-01-11 13:00:00+00:00,170.02
2023-01-11 14:00:00+00:00,181.97
2023-01-11 15:00:00+00:00,20.41
2023-01-11 16:00:00+00:00,184.53
2023-01-11 17:00:00+00:00,185.0
2023-01-11 18:00:00+00:00,167.76
2023-01-11 19:00:00+00:00,158.61
2023-01-11 20:00:00+00:00,120.84
2023-01-11 21:00:00+00:00,163.98
2023-01-11 22:00:00+00:00,182.86
2023-01-11 23:00:00+00:00,109.27
2023-01-12 00:00:00+00:00,150.08
2023-01-12 01:00:00+00:00,192.27
2023-01-12 02:00:00+00:00,129.2
2023-01-12 03:00:00+00:00,119.28
2023-01-12 04:00:00+00:00,153.22
2023-01-12 05:00:00+00:00,75.0
2023-01-12 06:00:00+00:00,26.87
2023-01-12 07:00:00+00:00,104.91
2023-01-12 08:00:00+00:00,80.0
2023-01-12 09:00:00+00:00,183.87
2023-01-12 10:00:00+00:00,50.06
2023-01-12 11:00:00+00:00,174.62
2023-01-12 12:00:00+00:00,167.76
2023-01-12 13:00:00+00:00,70.0
2023-01-12 14:00:00+00:00,180.97
2023-01-12 15:00:00+00:00,183.87
2023-01-12 16:00:00+00:00,162.4
2023-01-12 17:00:00+00:00,157.86
2023-01-12 18:00:00+00:00,178.98
2023-01-12 19:00:00+00:00,170.0
2023-01-12 20:00:00+00:00,163.39
2023-01-12 21:00:00+00:00,148.85
2023-01-12 22:00:00+00:00,172.56
2023-01-12 23:00:00+00:00,214.74
2023-01-13 00:00:00+00:00,121.13
2023-01-13 01:00:00+00:00,171.55
2023-01-13 02:00:00+00:00,170.66
2023-01-13 03:00:00+00:00,167.59
2023-01-13 04:00:00+00:00,99.08
2023-01-13 05:00:00+00:00,184.82
2023-01-13 06:00:00+00:00,175.84
2023-01-13 07:00:00+00:00,182.86
2023-01-13 08:00:00+00:00,119.9
2023-01-13 09:00:00+00:00,104.98
2023-01-13 10:00:00+00:00,184.54
2023-01-13 11:00:00+00:00,185.0
2023-01-13 12:00:00+00:00,181.59
2023-01-13 13:00:00+00:00,159.92
2023-01-13 14:00:00+00:00,109.93
2023-01-13 15:00:00+00:00,180.52
2023-01-13 16:00:00+00:00,86.77
2023-01-13 17:00:00+00:00,194.5
2023-01-13 18:00:00+00:00,150.0
2023-01-13 19:00:00+00:00,52.0
2023-01-13 20:00:00+00:00,34.27
2023-01-13 21:00:00+00:00,177.44
2023-01-13 22:00:00+00:00,99.01
2023-01-13 23:00:00+00:00,166.97
2023-01-14 00:00:00+00:00,150.0
2023-01-14 01:00:00+00:00,199.26
2023-01-14 02:00:00+00:00,80.0
2023-01-14 03:00:00+00:00,148.92
2023-01-14 04:00:00+00:00,111.64
2023-01-14 05:00:00+00:00,108.09
2023-01-14 06:00:00+00:00,124.09
2023-01-14 07:00:00+00:00,139.07
2023-01-14 08:00:00+00:00,104.95
2023-01-14 09:00:00+00:00,191.58
2023-01-14 10:00:00+00:00,193.81
2023-01-14 11:00:00+00:00,172.56
2023-01-14 12:00:00+00:00,169.96
2023-01-14 13:00:00+00:00,182.86
2023-01-14 14:00:00+00:00,81.0
