datetime,actual_load
2023-01-01 00:00:00,5298.83
2023-01-01 01:00:00,5203.81
2023-01-01 02:00:00,5051.55
2023-01-01 03:00:00,4980.12
2023-01-01 04:00:00,4952.0
2023-01-01 05:00:00,4973.02
2023-01-01 06:00:00,4986.27
2023-01-01 07:00:00,5091.37
2023-01-01 08:00:00,5412.34
2023-01-01 09:00:00,5696.34
2023-01-01 10:00:00,5847.79
2023-01-01 11:00:00,5882.44
2023-01-01 12:00:00,5921.61
2023-01-01 13:00:00,5947.78
2023-01-01 14:00:00,6039.85
2023-01-01 15:00:00,6285.5
2023-01-01 16:00:00,6383.52
2023-01-01 17:00:00,6445.0
2023-01-01 18:00:00,6354.4
2023-01-01 19:00:00,6249.99
2023-01-01 20:00:00,5912.97
2023-01-01 21:00:00,5804.24
2023-01-01 22:00:00,5536.9
2023-01-01 23:00:00,5268.06
2023-01-02 00:00:00,5252.41
2023-01-02 01:00:00,5128.73
2023-01-02 02:00:00,5016.74
2023-01-02 03:00:00,5191.23
2023-01-02 04:00:00,5764.91
2023-01-02 05:00:00,6775.55
2023-01-02 06:00:00,7399.61
2023-01-02 07:00:00,7693.03
2023-01-02 08:00:00,7918.5
2023-01-02 09:00:00,7999.95
2023-01-02 10:00:00,8061.76
2023-01-02 11:00:00,8113.35
2023-01-02 12:00:00,8142.54
2023-01-02 13:00:00,8011.27
2023-01-02 14:00:00,8040.96
2023-01-02 15:00:00,8157.84
2023-01-02 16:00:00,8143.71
2023-01-02 17:00:00,8043.03
2023-01-02 18:00:00,8015.57
2023-01-02 19:00:00,7682.65
2023-01-02 20:00:00,7281.17
2023-01-02 21:00:00,6850.03
2023-01-02 22:00:00,6347.79
2023-01-02 23:00:00,6023.58
2023-01-03 00:00:00,6012.34
2023-01-03 01:00:00,5939.56
2023-01-03 02:00:00,5858.61
2023-01-03 03:00:00,6043.53
2023-01-03 04:00:00,6611.17
2023-01-03 05:00:00,7737.68
2023-01-03 06:00:00,8267.63
2023-01-03 07:00:00,8395.95
2023-01-03 08:00:00,8544.22
2023-01-03 09:00:00,8569.04
2023-01-03 10:00:00,8542.93
2023-01-03 11:00:00,8599.58
2023-01-03 12:00:00,8623.69
2023-01-03 13:00:00,8433.69
2023-01-03 14:00:00,8465.73
2023-01-03 15:00:00,8569.07
2023-01-03 16:00:00,8557.86
2023-01-03 17:00:00,8471.92
2023-01-03 18:00:00,8409.55
2023-01-03 19:00:00,8104.91
2023-01-03 20:00:00,7648.15
2023-01-03 21:00:00,7283.86
2023-01-03 22:00:00,6893.72
2023-01-03 23:00:00,6612.09
2023-01-04 00:00:00,6653.56
2023-01-04 01:00:00,6592.52
2023-01-04 02:00:00,6463.61
2023-01-04 03:00:00,6625.73
2023-01-04 04:00:00,7215.34
2023-01-04 05:00:00,8331.38
2023-01-04 06:00:00,8852.41
2023-01-04 07:00:00,8938.52
2023-01-04 08:00:00,9018.92
2023-01-04 09:00:00,8944.88
2023-01-04 10:00:00,8904.55
2023-01-04 11:00:00,8967.89
2023-01-04 12:00:00,9010.03
2023-01-04 13:00:00,8856.25
2023-01-04 14:00:00,8893.94
2023-01-04 15:00:00,8816.73
2023-01-04 16:00:00,8689.78
2023-01-04 17:00:00,8500.82
2023-01-04 18:00:00,8414.31
2023-01-04 19:00:00,8118.4
2023-01-04 20:00:00,7644.04
2023-01-04 21:00:00,7303.35
2023-01-04 22:00:00,6848.4
2023-01-04 23:00:00,6527.89
2023-01-05 00:00:00,6522.78
2023-01-05 01:00:00,6383.89
2023-01-05 02:00:00,6289.99
2023-01-05 03:00:00,6473.65
2023-01-05 04:00:00,6992.19
2023-01-05 05:00:00,8048.87
2023-01-05 06:00:00,8525.67
2023-01-05 07:00:00,8638.08
2023-01-05 08:00:00,8779.05
2023-01-05 09:00:00,8722.3
2023-01-05 10:00:00,8688.73
2023-01-05 11:00:00,8603.51
2023-01-05 12:00:00,8567.93
2023-01-05 13:00:00,8376.44
2023-01-05 14:00:00,8403.72
2023-01-05 15:00:00,8475.98
2023-01-05 16:00:00,8483.1
2023-01-05 17:00:00,8356.32
2023-01-05 18:00:00,8305.53
2023-01-05 19:00:00,8004.45
2023-01-05 20:00:00,7562.17
2023-01-05 21:00:00,7210.26
2023-01-05 22:00:00,6784.16
2023-01-05 23:00:00,6525.71
2023-01-06 00:00:00,6575.37
2023-01-06 01:00:00,6398.12
2023-01-06 02:00:00,6328.79
2023-01-06 03:00:00,6465.39
2023-01-06 04:00:00,6980.09
2023-01-06 05:00:00,7990.09
2023-01-06 06:00:00,8487.57
2023-01-06 07:00:00,8600.42
2023-01-06 08:00:00,8615.16
2023-01-06 09:00:00,8588.73
2023-01-06 10:00:00,8579.55
2023-01-06 11:00:00,8666.53
2023-01-06 12:00:00,8669.58
2023-01-06 13:00:00,8459.0
2023-01-06 14:00:00,8508.07
2023-01-06 15:00:00,8528.37
2023-01-06 16:00:00,8411.5
2023-01-06 17:00:00,8150.63
2023-01-06 18:00:00,8022.01
2023-01-06 19:00:00,7679.95
2023-01-06 20:00:00,7166.69
2023-01-06 21:00:00,6773.13
2023-01-06 22:00:00,6338.96
2023-01-06 23:00:00,5941.59
2023-01-07 00:00:00,5781.23
2023-01-07 01:00:00,5752.17
2023-01-07 02:00:00,5835.88
2023-01-07 03:00:00,5807.57
2023-01-07 04:00:00,5828.55
2023-01-07 05:00:00,6091.79
2023-01-07 06:00:00,6418.61
2023-01-07 07:00:00,6749.48
2023-01-07 08:00:00,7168.77
2023-01-07 09:00:00,7441.37
2023-01-07 10:00:00,7585.4
2023-01-07 11:00:00,7550.82
2023-01-07 12:00:00,7494.5
2023-01-07 13:00:00,7309.67
2023-01-07 14:00:00,7251.88
2023-01-07 15:00:00,7390.41
2023-01-07 16:00:00,7458.9
2023-01-07 17:00:00,7372.43
2023-01-07 18:00:00,7235.95
2023-01-07 19:00:00,7072.23
2023-01-07 20:00:00,6770.29
2023-01-07 21:00:00,6582.14
2023-01-07 22:00:00,6275.31
2023-01-07 23:00:00,5921.41
2023-01-08 00:00:00,5781.49
2023-01-08 01:00:00,5642.3
2023-01-08 02:00:00,5631.86
2023-01-08 03:00:00,5747.03
2023-01-08 04:00:00,5835.35
2023-01-08 05:00:00,6046.59
2023-01-08 06:00:00,6367.69
2023-01-08 07:00:00,6643.2
2023-01-08 08:00:00,7128.46
2023-01-08 09:00:00,7484.31
2023-01-08 10:00:00,7701.64
2023-01-08 11:00:00,7600.66
2023-01-08 12:00:00,7582.21
2023-01-08 13:00:00,7462.22
2023-01-08 14:00:00,7445.63
2023-01-08 15:00:00,7507.94
2023-01-08 16:00:00,7520.75
2023-01-08 17:00:00,7588.9
2023-01-08 18:00:00,7549.26
2023-01-08 19:00:00,7409.94
2023-01-08 20:00:00,7137.42
2023-01-08 21:00:00,6978.73
2023-01-08 22:00:00,6638.67
