datetime,value
2022-12-31 00:00:00+00:00,0.05
2022-12-31 01:00:00+00:00,0.09
2022-12-31 02:00:00+00:00,-0.04
2022-12-31 03:00:00+00:00,-0.01
2022-12-31 04:00:00+00:00,0.05
2022-12-31 05:00:00+00:00,0.12
2022-12-31 06:00:00+00:00,0.0
2022-12-31 07:00:00+00:00,4.06
2022-12-31 08:00:00+00:00,4.08
2022-12-31 09:00:00+00:00,3.29
2022-12-31 10:00:00+00:00,4.06
2022-12-31 11:00:00+00:00,10.07
2022-12-31 12:00:00+00:00,10.59
2022-12-31 13:00:00+00:00,15.78
2022-12-31 14:00:00+00:00,59.29
2022-12-31 15:00:00+00:00,53.58
2022-12-31 16:00:00+00:00,25.58
2022-12-31 17:00:00+00:00,26.17
2022-12-31 18:00:00+00:00,15.08
2022-12-31 19:00:00+00:00,11.57
2022-12-31 20:00:00+00:00,14.89
2022-12-31 21:00:00+00:00,9.94
2022-12-31 22:00:00+00:00,4.84
2022-12-31 23:00:00+00:00,2.01
2023-01-01 00:00:00+00:00,1.38
2023-01-01 01:00:00+00:00,0.09
2023-01-01 02:00:00+00:00,0.08
2023-01-01 03:00:00+00:00,0.05
2023-01-01 04:00:00+00:00,0.08
2023-01-01 05:00:00+00:00,0.09
2023-01-01 06:00:00+00:00,0.53
2023-01-01 07:00:00+00:00,2.03
2023-01-01 08:00:00+00:00,3.1
2023-01-01 09:00:00+00:00,4.43
2023-01-01 10:00:00+00:00,6.06
2023-01-01 11:00:00+00:00,5.68
2023-01-01 12:00:00+00:00,17.71
2023-01-01 13:00:00+00:00,24.11
2023-01-01 14:00:00+00:00,36.54
2023-01-01 15:00:00+00:00,46.03
2023-01-01 16:00:00+00:00,54.23
2023-01-01 17:00:00+00:00,53.63
2023-01-01 18:00:00+00:00,48.05
2023-01-01 19:00:00+00:00,44.68
2023-01-01 20:00:00+00:00,45.96
2023-01-01 21:00:00+00:00,35.0
2023-01-01 23:00:00+00:00,57.91
2023-01-02 00:00:00+00:00,51.67
2023-01-02 01:00:00+00:00,52.86
2023-01-02 02:00:00+00:00,44.16
2023-01-02 03:00:00+00:00,50.08
2023-01-02 04:00:00+00:00,70.73
2023-01-02 05:00:00+00:00,105.08
2023-01-02 06:00:00+00:00,138.19
2023-01-02 07:00:00+00:00,145.98
2023-01-02 08:00:00+00:00,147.05
2023-01-02 09:00:00+00:00,145.61
2023-01-02 10:00:00+00:00,143.35
2023-01-02 11:00:00+00:00,144.38
2023-01-02 12:00:00+00:00,143.76
2023-01-02 13:00:00+00:00,148.2
2023-01-02 14:00:00+00:00,155.34
2023-01-02 15:00:00+00:00,162.89
2023-01-02 16:00:00+00:00,170.0
2023-01-02 17:00:00+00:00,174.74
2023-01-02 18:00:00+00:00,164.46
2023-01-02 19:00:00+00:00,153.0
2023-01-02 20:00:00+00:00,141.67
2023-01-02 21:00:00+00:00,131.67
2023-01-02 22:00:00+00:00,118.06
2023-01-02 23:00:00+00:00,78.81
2023-01-03 00:00:00+00:00,73.93
2023-01-03 01:00:00+00:00,73.94
2023-01-03 02:00:00+00:00,71.44
2023-01-03 03:00:00+00:00,72.33
2023-01-03 04:00:00+00:00,77.14
2023-01-03 05:00:00+00:00,102.48
2023-01-03 06:00:00+00:00,154.96
2023-01-03 07:00:00+00:00,163.92
2023-01-03 08:00:00+00:00,167.07
2023-01-03 09:00:00+00:00,168.57
2023-01-03 10:00:00+00:00,169.49
2023-01-03 11:00:00+00:00,164.5
2023-01-03 12:00:00+00:00,160.91
2023-01-03 13:00:00+00:00,163.06
2023-01-03 14:00:00+00:00,167.73
2023-01-03 15:00:00+00:00,166.61
2023-01-03 16:00:00+00:00,170.72
2023-01-03 17:00:00+00:00,168.93
2023-01-03 18:00:00+00:00,160.99
2023-01-03 19:00:00+00:00,149.62
2023-01-03 20:00:00+00:00,131.05
2023-01-03 21:00:00+00:00,114.27
2023-01-03 22:00:00+00:00,93.66
2023-01-03 23:00:00+00:00,82.88
2023-01-04 00:00:00+00:00,78.84
2023-01-04 01:00:00+00:00,69.93
2023-01-04 02:00:00+00:00,69.26
2023-01-04 03:00:00+00:00,71.75
2023-01-04 04:00:00+00:00,81.73
2023-01-04 05:00:00+00:00,112.76
2023-01-04 06:00:00+00:00,126.72
2023-01-04 07:00:00+00:00,127.91
2023-01-04 08:00:00+00:00,127.92
2023-01-04 09:00:00+00:00,125.08
2023-01-04 10:00:00+00:00,138.88
2023-01-04 11:00:00+00:00,135.8
2023-01-04 12:00:00+00:00,136.74
2023-01-04 13:00:00+00:00,130.08
2023-01-04 14:00:00+00:00,130.05
2023-01-04 15:00:00+00:00,125.07
2023-01-04 16:00:00+00:00,133.44
2023-01-04 17:00:00+00:00,125.01
2023-01-04 18:00:00+00:00,119.88
2023-01-04 19:00:00+00:00,64.56
2023-01-04 20:00:00+00:00,57.26
2023-01-04 21:00:00+00:00,37.94
2023-01-04 22:00:00+00:00,30.82
2023-01-04 23:00:00+00:00,30.03
2023-01-05 00:00:00+00:00,28.15
2023-01-05 01:00:00+00:00,27.68
2023-01-05 02:00:00+00:00,27.76
2023-01-05 03:00:00+00:00,28.63
2023-01-05 04:00:00+00:00,39.8
2023-01-05 05:00:00+00:00,62.7
2023-01-05 06:00:00+00:00,85.53
2023-01-05 07:00:00+00:00,93.54
2023-01-05 08:00:00+00:00,107.92
2023-01-05 09:00:00+00:00,128.75
2023-01-05 10:00:00+00:00,139.64
2023-01-05 11:00:00+00:00,139.99
2023-01-05 12:00:00+00:00,142.58
2023-01-05 13:00:00+00:00,149.4
2023-01-05 14:00:00+00:00,155.2
2023-01-05 15:00:00+00:00,168.59
2023-01-05 16:00:00+00:00,190.03
2023-01-05 17:00:00+00:00,190.0
2023-01-05 18:00:00+00:00,173.71
2023-01-05 19:00:00+00:00,160.05
2023-01-05 20:00:00+00:00,148.62
2023-01-05 21:00:00+00:00,141.17
2023-01-05 22:00:00+00:00,127.0
2023-01-05 23:00:00+00:00,107.21
2023-01-06 00:00:00+00:00,101.1
2023-01-06 01:00:00+00:00,96.73
2023-01-06 02:00:00+00:00,82.34
2023-01-06 03:00:00+00:00,81.93
2023-01-06 04:00:00+00:00,98.11
2023-01-06 05:00:00+00:00,100.72
2023-01-06 06:00:00+00:00,128.3
2023-01-06 07:00:00+00:00,135.57
2023-01-06 08:00:00+00:00,126.91
2023-01-06 09:00:00+00:00,123.17
2023-01-06 10:00:00+00:00,116.12
2023-01-06 11:00:00+00:00,116.83
2023-01-06 12:00:00+00:00,106.79
2023-01-06 13:00:00+00:00,127.54
2023-01-06 14:00:00+00:00,131.27
2023-01-06 15:00:00+00:00,135.62
2023-01-06 16:00:00+00:00,150.72
2023-01-06 17:00:00+00:00,142.11
2023-01-06 18:00:00+00:00,119.92
2023-01-06 19:00:00+00:00,107.22
2023-01-06 20:00:00+00:00,101.02
2023-01-06 21:00:00+00:00,74.25
2023-01-06 22:00:00+00:00,71.74
2023-01-06 23:00:00+00:00,71.67
2023-01-07 00:00:00+00:00,69.93
2023-01-07 01:00:00+00:00,69.94
2023-01-07 02:00:00+00:00,70.95
2023-01-07 03:00:00+00:00,73.83
2023-01-07 04:00:00+00:00,75.26
2023-01-07 05:00:00+00:00,81.83
2023-01-07 06:00:00+00:00,75.97
2023-01-07 07:00:00+00:00,104.86
2023-01-07 08:00:00+00:00,137.07
2023-01-07 09:00:00+00:00,126.68
2023-01-07 10:00:00+00:00,137.83
2023-01-07 11:00:00+00:00,121.52
2023-01-07 12:00:00+00:00,95.22
2023-01-07 13:00:00+00:00,95.27
2023-01-07 14:00:00+00:00,139.85
2023-01-07 15:00:00+00:00,161.63
2023-01-07 16:00:00+00:00,110.71
2023-01-07 17:00:00+00:00,104.88
2023-01-07 18:00:00+00:00,143.98
2023-01-07 19:00:00+00:00,95.22
2023-01-07 20:00:00+00:00,59.99
2023-01-07 21:00:00+00:00,48.8
2023-01-07 22:00:00+00:00,35.9
2023-01-07 23:00:00+00:00,24.44
2023-01-08 00:00:00+00:00,52.5
2023-01-08 01:00:00+00:00,46.16
2023-01-08 02:00:00+00:00,34.41
2023-01-08 03:00:00+00:00,44.38
2023-01-08 04:00:00+00:00,9.92
2023-01-08 05:00:00+00:00,49.71
2023-01-08 06:00:00+00:00,57.67
2023-01-08 07:00:00+00:00,75.53
2023-01-08 08:00:00+00:00,95.76
2023-01-08 09:00:00+00:00,98.53
2023-01-08 10:00:00+00:00,47.0
2023-01-08 11:00:00+00:00,48.96
2023-01-08 12:00:00+00:00,54.91
2023-01-08 13:00:00+00:00,63.49
2023-01-08 14:00:00+00:00,66.11
2023-01-08 15:00:00+00:00,69.19
2023-01-08 16:00:00+00:00,69.91
2023-01-08 17:00:00+00:00,65.62
2023-01-08 18:00:00+00:00,60.98
2023-01-08 19:00:00+00:00,57.41
2023-01-08 20:00:00+00:00,50.02
2023-01-08 21:00:00+00:00,46.29
2023-01-08 23:00:00+00:00,69.04
2023-01-09 00:00:00+00:00,64.38
2023-01-09 01:00:00+00:00,60.28
2023-01-09 02:00:00+00:00,39.41
2023-01-09 03:00:00+00:00,47.34
2023-01-09 04:00:00+00:00,73.11
2023-01-09 05:00:00+00:00,112.29
2023-01-09 06:00:00+00:00,156.16
2023-01-09 07:00:00+00:00,175.68
2023-01-09 08:00:00+00:00,172.89
2023-01-09 09:00:00+00:00,155.25
2023-01-09 10:00:00+00:00,156.71
2023-01-09 11:00:00+00:00,140.1
2023-01-09 12:00:00+00:00,140.06
2023-01-09 13:00:00+00:00,146.44
2023-01-09 14:00:00+00:00,147.4
2023-01-09 15:00:00+00:00,158.08
2023-01-09 16:00:00+00:00,153.07
2023-01-09 17:00:00+00:00,104.08
2023-01-09 18:00:00+00:00,104.04
2023-01-09 19:00:00+00:00,104.07
2023-01-09 20:00:00+00:00,93.82
2023-01-09 21:00:00+00:00,83.84
2023-01-09 22:00:00+00:00,80.59
2023-01-09 23:00:00+00:00,76.05
2023-01-10 00:00:00+00:00,79.95
2023-01-10 01:00:00+00:00,78.82
2023-01-10 02:00:00+00:00,80.06
2023-01-10 03:00:00+00:00,83.16
2023-01-10 04:00:00+00:00,104.63
2023-01-10 05:00:00+00:00,117.8
2023-01-10 06:00:00+00:00,149.4
2023-01-10 07:00:00+00:00,169.15
2023-01-10 08:00:00+00:00,156.57
2023-01-10 09:00:00+00:00,149.38
2023-01-10 10:00:00+00:00,142.94
2023-01-10 11:00:00+00:00,149.34
2023-01-10 12:00:00+00:00,139.97
2023-01-10 13:00:00+00:00,149.3
2023-01-10 14:00:00+00:00,142.42
2023-01-10 15:00:00+00:00,139.31
2023-01-10 16:00:00+00:00,142.83
2023-01-10 17:00:00+00:00,169.17
2023-01-10 18:00:00+00:00,149.35
2023-01-10 19:00:00+00:00,105.64
2023-01-10 20:00:00+00:00,142.04
2023-01-10 21:00:00+00:00,105.69
2023-01-10 22:00:00+00:00,87.07
2023-01-10 23:00:00+00:00,52.69
2023-01-11 00:00:00+00:00,31.85
2023-01-11 01:00:00+00:00,25.17
2023-01-11 02:00:00+00:00,22.57
2023-01-11 03:00:00+00:00,41.96
2023-01-11 04:00:00+00:00,65.81
2023-01-11 05:00:00+00:00,117.59
2023-01-11 06:00:00+00:00,138.27
2023-01-11 07:00:00+00:00,109.25
2023-01-11 08:00:00+00:00,106.48
2023-01-11 09:00:00+00:00,142.0
2023-01-11 10:00:00+00:00,106.5
2023-01-11 11:00:00+00:00,117.51
2023-01-11 12:00:00+00:00,137.99
2023-01-11 13:00:00+00:00,111.27
2023-01-11 14:00:00+00:00,106.73
2023-01-11 15:00:00+00:00,116.34
2023-01-11 16:00:00+00:00,128.28
2023-01-11 17:00:00+00:00,106.48
2023-01-11 18:00:00+00:00,67.99
2023-01-11 19:00:00+00:00,65.16
2023-01-11 20:00:00+00:00,60.01
2023-01-11 21:00:00+00:00,49.91
2023-01-11 22:00:00+00:00,43.32
2023-01-11 23:00:00+00:00,19.88
2023-01-12 00:00:00+00:00,5.55
2023-01-12 01:00:00+00:00,4.69
2023-01-12 02:00:00+00:00,0.1
2023-01-12 03:00:00+00:00,2.73
2023-01-12 04:00:00+00:00,24.94
2023-01-12 05:00:00+00:00,98.32
2023-01-12 06:00:00+00:00,125.01
2023-01-12 07:00:00+00:00,125.02
2023-01-12 08:00:00+00:00,125.03
2023-01-12 09:00:00+00:00,109.34
2023-01-12 10:00:00+00:00,105.86
2023-01-12 11:00:00+00:00,113.08
2023-01-12 12:00:00+00:00,125.04
2023-01-12 13:00:00+00:00,73.76
2023-01-12 14:00:00+00:00,125.01
2023-01-12 15:00:00+00:00,105.9
2023-01-12 16:00:00+00:00,109.94
2023-01-12 17:00:00+00:00,116.62
2023-01-12 18:00:00+00:00,98.37
2023-01-12 19:00:00+00:00,74.08
2023-01-12 20:00:00+00:00,74.5
2023-01-12 21:00:00+00:00,66.84
2023-01-12 22:00:00+00:00,42.49
2023-01-12 23:00:00+00:00,32.64
2023-01-13 00:00:00+00:00,21.87
2023-01-13 01:00:00+00:00,16.54
2023-01-13 02:00:00+00:00,18.46
2023-01-13 03:00:00+00:00,24.82
2023-01-13 04:00:00+00:00,30.32
2023-01-13 05:00:00+00:00,85.05
2023-01-13 06:00:00+00:00,100.01
2023-01-13 07:00:00+00:00,105.93
