datetime,residual_demand
2025-06-15 21:00:00,1195.0
2025-06-15 21:15:00,1125.0
2025-06-15 21:30:00,1052.0
2025-06-15 21:45:00,976.0
2025-06-15 22:00:00,1002.0
2025-06-15 22:15:00,956.0
2025-06-15 22:30:00,903.0
2025-06-15 22:45:00,861.0
2025-06-15 23:00:00,822.0
2025-06-15 23:15:00,788.0
2025-06-15 23:30:00,769.0
2025-06-15 23:45:00,748.0
2025-06-16 00:00:00,459.0
2025-06-16 00:15:00,442.0
2025-06-16 00:30:00,430.0
2025-06-16 00:45:00,420.0
2025-06-16 01:00:00,828.0
2025-06-16 01:15:00,822.0
2025-06-16 01:30:00,816.0
2025-06-16 01:45:00,816.0
2025-06-16 02:00:00,1034.0
2025-06-16 02:15:00,1045.0
2025-06-16 02:30:00,1053.0
2025-06-16 02:45:00,1037.0
2025-06-16 03:00:00,-838.0
2025-06-16 03:15:00,-833.0
2025-06-16 03:30:00,-804.0
2025-06-16 03:45:00,-749.0
2025-06-16 04:00:00,-2577.5
2025-06-16 04:15:00,-2508.5
2025-06-16 04:30:00,-2467.5
2025-06-16 04:45:00,-2414.5
2025-06-16 05:00:00,-1631.0
2025-06-16 05:15:00,-1604.0
2025-06-16 05:30:00,-1575.0
2025-06-16 05:45:00,-1527.0
2025-06-16 06:00:00,-628.5
2025-06-16 06:15:00,-586.5
2025-06-16 06:30:00,-560.5
2025-06-16 06:45:00,-547.5
2025-06-16 07:00:00,-727.0
2025-06-16 07:15:00,-737.0
2025-06-16 07:30:00,-738.0
2025-06-16 07:45:00,-744.0
2025-06-16 08:00:00,-516.0
2025-06-16 08:15:00,-526.0
2025-06-16 08:30:00,-500.0
2025-06-16 08:45:00,-481.0
2025-06-16 09:00:00,-708.5
2025-06-16 09:15:00,-704.5
2025-06-16 09:30:00,-722.5
2025-06-16 09:45:00,-721.5
2025-06-16 10:00:00,-628.0
2025-06-16 10:15:00,-629.0
2025-06-16 10:30:00,-612.0
2025-06-16 10:45:00,-598.0
2025-06-16 11:00:00,-339.0
2025-06-16 11:15:00,-334.0
2025-06-16 11:30:00,-363.0
2025-06-16 11:45:00,-399.0
2025-06-16 12:00:00,-1646.5
2025-06-16 12:15:00,-1638.5
2025-06-16 12:30:00,-1652.5
2025-06-16 12:45:00,-1659.5
2025-06-16 13:00:00,-990.5
2025-06-16 13:15:00,-958.5
2025-06-16 13:30:00,-957.5
2025-06-16 13:45:00,-970.5
2025-06-16 14:00:00,-1813.5
2025-06-16 14:15:00,-1834.5
2025-06-16 14:30:00,-1823.5
2025-06-16 14:45:00,-1811.5
2025-06-16 15:00:00,-1830.5
2025-06-16 15:15:00,-1802.5
2025-06-16 15:30:00,-1779.5
2025-06-16 15:45:00,-1753.5
2025-06-16 16:00:00,-1950.0
2025-06-16 16:15:00,-1926.0
2025-06-16 16:30:00,-1876.0
2025-06-16 16:45:00,-1863.0
2025-06-16 17:00:00,-1453.5
2025-06-16 17:15:00,-1438.5
2025-06-16 17:30:00,-1419.5
2025-06-16 17:45:00,-1415.5
2025-06-16 18:00:00,22.0
2025-06-16 18:15:00,16.0
