datetime,value
2022-12-31 00:00:00+00:00,160.0
2022-12-31 01:00:00+00:00,157.0
2022-12-31 02:00:00+00:00,186.0
2022-12-31 03:00:00+00:00,189.2
2022-12-31 04:00:00+00:00,189.0
2022-12-31 05:00:00+00:00,209.36
2022-12-31 06:00:00+00:00,235.0
2022-12-31 07:00:00+00:00,213.36
2022-12-31 08:00:00+00:00,194.12
2022-12-31 09:00:00+00:00,189.2
2022-12-31 10:00:00+00:00,187.59
2022-12-31 11:00:00+00:00,187.19
2022-12-31 12:00:00+00:00,196.07
2022-12-31 13:00:00+00:00,235.0
2022-12-31 14:00:00+00:00,280.52
2022-12-31 15:00:00+00:00,333.0
2022-12-31 16:00:00+00:00,310.0
2022-12-31 17:00:00+00:00,270.0
2022-12-31 18:00:00+00:00,217.78
2022-12-31 19:00:00+00:00,200.0
2022-12-31 23:00:00+00:00,195.9
2023-01-01 00:00:00+00:00,191.09
2023-01-01 01:00:00+00:00,187.95
2023-01-01 02:00:00+00:00,187.82
2023-01-01 03:00:00+00:00,187.74
2023-01-01 04:00:00+00:00,187.22
2023-01-01 05:00:00+00:00,187.82
2023-01-01 06:00:00+00:00,186.47
2023-01-01 07:00:00+00:00,177.25
2023-01-01 08:00:00+00:00,168.5
2023-01-01 09:00:00+00:00,173.0
2023-01-01 10:00:00+00:00,165.89
2023-01-01 11:00:00+00:00,179.73
2023-01-01 12:00:00+00:00,188.06
2023-01-01 13:00:00+00:00,193.67
2023-01-01 14:00:00+00:00,213.36
2023-01-01 15:00:00+00:00,229.99
2023-01-01 16:00:00+00:00,243.42
2023-01-01 17:00:00+00:00,235.0
2023-01-01 18:00:00+00:00,203.25
2023-01-01 19:00:00+00:00,190.85
2023-01-01 20:00:00+00:00,187.28
2023-01-01 23:00:00+00:00,187.27
2023-01-02 00:00:00+00:00,187.2
2023-01-02 01:00:00+00:00,180.0
2023-01-02 02:00:00+00:00,185.89
2023-01-02 03:00:00+00:00,198.85
2023-01-02 04:00:00+00:00,202.72
2023-01-02 05:00:00+00:00,213.36
2023-01-02 06:00:00+00:00,203.99
2023-01-02 07:00:00+00:00,196.23
2023-01-02 08:00:00+00:00,194.63
2023-01-02 09:00:00+00:00,194.47
2023-01-02 10:00:00+00:00,193.75
2023-01-02 11:00:00+00:00,195.74
2023-01-02 12:00:00+00:00,199.09
2023-01-02 13:00:00+00:00,206.21
2023-01-02 14:00:00+00:00,262.0
2023-01-02 15:00:00+00:00,247.0
2023-01-02 16:00:00+00:00,250.0
2023-01-02 17:00:00+00:00,210.95
2023-01-02 18:00:00+00:00,199.09
2023-01-02 19:00:00+00:00,194.47
2023-01-02 20:00:00+00:00,185.0
2023-01-02 23:00:00+00:00,170.77
2023-01-03 00:00:00+00:00,148.89
2023-01-03 01:00:00+00:00,120.0
2023-01-03 02:00:00+00:00,115.0
2023-01-03 03:00:00+00:00,113.63
2023-01-03 04:00:00+00:00,148.89
2023-01-03 05:00:00+00:00,191.58
2023-01-03 06:00:00+00:00,191.63
2023-01-03 07:00:00+00:00,199.74
2023-01-03 08:00:00+00:00,198.49
2023-01-03 09:00:00+00:00,191.58
2023-01-03 10:00:00+00:00,180.2
2023-01-03 11:00:00+00:00,175.0
2023-01-03 12:00:00+00:00,174.76
2023-01-03 13:00:00+00:00,180.2
2023-01-03 14:00:00+00:00,190.0
2023-01-03 15:00:00+00:00,194.9
2023-01-03 16:00:00+00:00,200.38
2023-01-03 17:00:00+00:00,200.0
2023-01-03 18:00:00+00:00,199.74
