datetime,tso_forecast,corrected_mean,corrected_q10,corrected_q50,corrected_q90
2023-01-01 00:00:00,19220.0,19184.05648585419,19081.114530387884,19164.534725928188,19347.451292275167
2023-01-01 01:00:00,18280.0,18234.4036442843,18162.19755614706,18251.464341765928,18405.34837811511
2023-01-01 02:00:00,17553.0,17617.257757718606,17465.239369248357,17599.479037555346,17657.69636640634
2023-01-01 03:00:00,17670.0,17747.134547461515,17424.587493367006,17743.990551605057,17826.11977740047
2023-01-01 04:00:00,17804.0,17703.555875670067,17479.329721799546,17734.45911369615,18018.979012081403
2023-01-01 05:00:00,18440.0,18500.882466300758,18140.771708768712,18551.806643029217,19020.944575404425
2023-01-01 06:00:00,19182.0,19133.85301200538,18621.74531333813,19236.67150135795,19812.670177325563
2023-01-01 07:00:00,19701.0,19853.220890079334,18721.400536265257,19899.58824563303,20317.2735855794
2023-01-01 08:00:00,21181.0,21021.056602727,20310.18434073841,21201.176749391198,21954.146838481032
2023-01-01 09:00:00,21853.0,21776.611695186934,21402.138094101425,22160.98306794636,22561.43220945348
2023-01-01 10:00:00,22807.0,22801.778443397052,22337.677591914482,23018.55160073389,23290.655439159313
2023-01-01 11:00:00,23169.0,23509.70016773971,22951.527376517246,23606.85109316122,23769.590498007088
2023-01-01 12:00:00,22520.0,22238.00469287711,21859.261798311003,22258.073942580115,22650.979102571462
2023-01-01 13:00:00,21871.0,21580.269055385183,21338.17493907182,21543.368941513563,22015.790950427527
2023-01-01 14:00:00,21917.0,21855.059920864747,21484.492179628705,21566.072722131383,22102.915002830887
2023-01-01 15:00:00,22660.0,22501.19467029176,22448.154588288562,22493.52970891916,22739.705638685988
2023-01-01 16:00:00,25468.0,25557.521820163893,25136.12237948272,25531.447098511173,25613.480375349434
2023-01-01 17:00:00,26458.0,26267.21547152015,25916.125884878693,26360.606537790678,26698.667836130637
2023-01-01 18:00:00,27012.0,26916.062308906654,26639.713961008332,26873.21362023587,27285.69201051108
2023-01-01 19:00:00,26603.0,26505.310230976494,26289.52342560003,26490.251139578646,26902.24396455421
2023-01-01 20:00:00,25646.0,25630.44227512379,25418.478639783058,25662.255075353405,25886.88641876344
2023-01-01 21:00:00,23825.0,23673.243655363534,23474.878805298424,23652.346644972735,24048.466353193384
2023-01-01 22:00:00,21709.0,21414.508697102814,21119.505076082605,21381.561414116823,22070.59104297113
2023-01-01 23:00:00,19654.0,19521.64974882976,19297.246547234252,19690.954810761017,19891.998768519497
2023-01-02 00:00:00,18554.0,18496.973890305337,18381.149983223226,18484.65711621253,18661.151586019478
2023-01-02 01:00:00,17756.0,17723.549954324837,17641.430758985483,17715.034367839893,17877.175892418567
2023-01-02 02:00:00,17468.0,17522.008285423603,17374.793703293286,17536.525579032263,17583.165168558153
2023-01-02 03:00:00,17682.0,17844.005839071357,17496.917912773475,17798.52812645134,17830.86943833602
2023-01-02 04:00:00,18871.0,18769.58387050621,18564.60773461686,18849.886917693308,19096.321271637706
2023-01-02 05:00:00,22668.0,22741.858165324433,22300.93970536604,22780.933666783378,23254.59718213338
2023-01-02 06:00:00,26248.0,26045.82316334651,25658.367877873374,26205.448165583166,26685.90751808056
2023-01-02 07:00:00,30270.0,30200.326609567946,29230.403987354686,30202.05222691792,30641.83521049597
2023-01-02 08:00:00,33052.0,32751.629813022166,32079.307560232974,32985.26282065688,33634.17300076796
2023-01-02 09:00:00,33293.0,33143.324681288264,32797.59528150466,33558.73418913487,33981.68279926073
2023-01-02 10:00:00,33337.0,33145.28306756436,32721.990387704962,33427.755094528555,33769.17063444638
2023-01-02 11:00:00,32360.0,32565.955067125884,31932.83614597285,32669.20027376872,32799.11097548876
2023-01-02 12:00:00,32513.0,32072.678160564665,31804.716245777116,32135.575065530244,32535.34254098143
2023-01-02 13:00:00,33367.0,32994.936725388055,32704.275572126124,32953.40257380001,33485.97929681268
2023-01-02 14:00:00,33742.0,33416.75305744469,33094.2650282662,33330.49176066275,33745.49938848053
2023-01-02 15:00:00,34094.0,33714.15161698997,33591.125545469156,33796.608404146406,34113.50608480838
2023-01-02 16:00:00,35245.0,35185.708626762236,34775.54738815141,35165.04131615738,35318.31479277365
2023-01-02 17:00:00,35334.0,35124.111636108275,34883.49432788221,35150.565597902736,35509.56983642709
2023-01-02 18:00:00,34909.0,34680.87657089717,34621.99019870539,34833.76782890582,35096.44334163915
2023-01-02 19:00:00,33297.0,33063.56100538862,32829.85263127444,33127.667889915014,33560.030955933325
2023-01-02 20:00:00,30764.0,30679.581348536944,30523.183778742943,30783.875114530725,30985.54102454439
2023-01-02 21:00:00,27778.0,27700.477286292407,27493.727161394912,27597.85245151366,28049.084558867977
2023-01-02 22:00:00,24846.0,24197.251705070637,24193.156871099964,24420.372440091884,25115.45878542536
2023-01-02 23:00:00,21933.0,21770.73654154346,21495.67261617142,21888.13030254977,22119.337561727363
2023-01-03 00:00:00,20576.0,20489.572697140025,20363.316273627675,20460.019362407867,20607.39788316555
2023-01-03 01:00:00,19685.0,19616.865489471547,19557.159473847667,19649.008269621587,19802.5654151682
2023-01-03 02:00:00,19345.0,19393.799336786342,19217.66798360916,19409.468841492657,19469.42245982694
2023-01-03 03:00:00,19545.0,19695.73914033133,19356.046131117964,19659.349910614157,19739.861895667746
2023-01-03 04:00:00,21012.0,20904.5207231899,20693.41123187841,20981.68515862702,21205.073276474555
2023-01-03 05:00:00,24138.0,24210.685418405006,23749.573891911507,24165.19544345513,24714.15885527326
2023-01-03 06:00:00,27525.0,27328.011384643512,26900.17207257748,27477.931532605977,27940.934847693898
2023-01-03 07:00:00,30850.0,30772.368463371346,29829.06306796739,30804.551744861885,31237.514238802385
2023-01-03 08:00:00,32847.0,32447.943375688075,31872.994747532295,32767.530534464127,33366.754169070584
2023-01-03 09:00:00,33035.0,32854.93086681198,32572.18006607969,33211.84440931792,33587.24150057706
2023-01-03 10:00:00,32955.0,32783.31513129284,32302.227776832606,33042.27402230651,33431.43898072603
