datetime,residual_demand
2025-06-15 21:00:00,524.0
2025-06-15 22:00:00,44.0
2025-06-15 23:00:00,-626.0
2025-06-16 00:00:00,-847.0
2025-06-16 01:00:00,-1654.0
2025-06-16 02:00:00,-1325.0
2025-06-16 03:00:00,-1093.0
2025-06-16 04:00:00,-1105.0
2025-06-16 05:00:00,-1295.0
2025-06-16 06:00:00,-2146.5
2025-06-16 07:00:00,-3329.0
2025-06-16 08:00:00,-4503.0
2025-06-16 09:00:00,-3866.5
2025-06-16 10:00:00,-3797.5
2025-06-16 11:00:00,-4802.5
2025-06-16 12:00:00,-5639.0
2025-06-16 13:00:00,-7221.5
2025-06-16 14:00:00,-6149.0
2025-06-16 15:00:00,-5909.0
2025-06-16 16:00:00,-4476.5
2025-06-16 17:00:00,-4200.5
2025-06-16 18:00:00,-3926.0
2025-06-16 19:00:00,-3697.5
2025-06-16 20:00:00,-3346.0
2025-06-16 21:00:00,-3277.0
2025-06-16 22:00:00,-2907.0
2025-06-16 23:00:00,-2873.0
2025-06-17 00:00:00,-2912.0
2025-06-17 01:00:00,-3423.0
2025-06-17 02:00:00,-2979.0
2025-06-17 03:00:00,-3349.0
2025-06-17 04:00:00,-2921.0
2025-06-17 05:00:00,-2150.0
2025-06-17 06:00:00,-2534.5
2025-06-17 07:00:00,-2608.0
2025-06-17 08:00:00,-2651.0
2025-06-17 09:00:00,-2138.5
2025-06-17 10:00:00,-2065.5
2025-06-17 11:00:00,-1985.5
2025-06-17 12:00:00,-2110.0
2025-06-17 13:00:00,-2494.5
2025-06-17 14:00:00,-2008.0
2025-06-17 15:00:00,-1612.5
2025-06-17 16:00:00,-1788.0
2025-06-17 17:00:00,-582.0
2025-06-17 18:00:00,1734.5
2025-06-17 19:00:00,1583.5
2025-06-17 20:00:00,1201.0
2025-06-17 21:00:00,350.0
2025-06-17 22:00:00,107.0
2025-06-17 23:00:00,-239.0
2025-06-18 00:00:00,-190.0
2025-06-18 01:00:00,-697.0
2025-06-18 02:00:00,-1023.0
2025-06-18 03:00:00,-454.0
2025-06-18 04:00:00,-103.5
2025-06-18 05:00:00,388.0
2025-06-18 06:00:00,1407.5
2025-06-18 07:00:00,1626.0
2025-06-18 08:00:00,1531.0
2025-06-18 09:00:00,1395.5
2025-06-18 10:00:00,1454.5
2025-06-18 11:00:00,1460.5
2025-06-18 12:00:00,1441.5
2025-06-18 13:00:00,825.0
2025-06-18 14:00:00,855.0
2025-06-18 15:00:00,663.5
2025-06-18 16:00:00,738.0
2025-06-18 17:00:00,577.0
2025-06-18 18:00:00,698.0
2025-06-18 19:00:00,1569.5
2025-06-18 20:00:00,1657.0
2025-06-18 21:00:00,1317.0
2025-06-18 22:00:00,1134.0
2025-06-18 23:00:00,1178.0
2025-06-19 00:00:00,-192.0
2025-06-19 01:00:00,139.0
