time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,29.4,0.0
2022-12-31 01:00:00,35.5,0.0
2022-12-31 02:00:00,34.6,0.0
2022-12-31 03:00:00,39.0,0.0
2022-12-31 04:00:00,38.7,0.0
2022-12-31 05:00:00,42.1,0.0
2022-12-31 06:00:00,38.2,0.0
2022-12-31 07:00:00,39.6,0.0
2022-12-31 08:00:00,40.2,0.0
2022-12-31 09:00:00,41.8,10.0
2022-12-31 10:00:00,39.2,47.0
2022-12-31 11:00:00,36.2,124.0
2022-12-31 12:00:00,35.6,56.0
2022-12-31 13:00:00,35.8,89.0
2022-12-31 14:00:00,32.7,60.0
2022-12-31 15:00:00,34.2,52.0
2022-12-31 16:00:00,32.0,10.0
2022-12-31 17:00:00,34.6,0.0
2022-12-31 18:00:00,37.7,0.0
2022-12-31 19:00:00,37.4,0.0
2022-12-31 20:00:00,40.5,0.0
2022-12-31 21:00:00,39.1,0.0
2022-12-31 22:00:00,32.0,0.0
2022-12-31 23:00:00,32.5,0.0
2023-01-01 00:00:00,35.8,0.0
2023-01-01 01:00:00,34.5,0.0
2023-01-01 02:00:00,35.0,0.0
2023-01-01 03:00:00,33.4,0.0
2023-01-01 04:00:00,29.9,0.0
2023-01-01 05:00:00,27.8,0.0
2023-01-01 06:00:00,28.4,0.0
2023-01-01 07:00:00,29.0,0.0
2023-01-01 08:00:00,28.6,0.0
2023-01-01 09:00:00,28.2,22.0
2023-01-01 10:00:00,24.6,100.0
2023-01-01 11:00:00,23.7,129.0
2023-01-01 12:00:00,23.4,115.0
2023-01-01 13:00:00,21.1,101.0
2023-01-01 14:00:00,20.9,49.0
2023-01-01 15:00:00,18.4,37.0
2023-01-01 16:00:00,19.0,4.0
2023-01-01 17:00:00,16.2,0.0
2023-01-01 18:00:00,17.7,0.0
2023-01-01 19:00:00,20.3,0.0
2023-01-01 20:00:00,23.0,0.0
2023-01-01 21:00:00,26.7,0.0
2023-01-01 22:00:00,28.5,0.0
2023-01-01 23:00:00,28.2,0.0
2023-01-02 00:00:00,26.7,0.0
2023-01-02 01:00:00,29.0,0.0
2023-01-02 02:00:00,27.1,0.0
2023-01-02 03:00:00,29.6,0.0
2023-01-02 04:00:00,30.2,0.0
2023-01-02 05:00:00,27.8,0.0
2023-01-02 06:00:00,21.7,0.0
2023-01-02 07:00:00,18.2,0.0
2023-01-02 08:00:00,17.6,0.0
2023-01-02 09:00:00,15.6,11.0
2023-01-02 10:00:00,17.9,55.0
2023-01-02 11:00:00,16.8,67.0
2023-01-02 12:00:00,15.9,124.0
2023-01-02 13:00:00,19.1,103.0
2023-01-02 14:00:00,24.7,119.0
2023-01-02 15:00:00,20.6,66.0
2023-01-02 16:00:00,18.9,9.0
2023-01-02 17:00:00,17.8,0.0
2023-01-02 18:00:00,16.6,0.0
2023-01-02 19:00:00,17.7,0.0
2023-01-02 20:00:00,16.3,0.0
2023-01-02 21:00:00,15.3,0.0
2023-01-02 22:00:00,14.0,0.0
2023-01-02 23:00:00,11.2,0.0
2023-01-03 00:00:00,10.5,0.0
2023-01-03 01:00:00,9.3,0.0
2023-01-03 02:00:00,9.0,0.0
2023-01-03 03:00:00,11.2,0.0
2023-01-03 04:00:00,12.4,0.0
2023-01-03 05:00:00,16.3,0.0
2023-01-03 06:00:00,18.0,0.0
2023-01-03 07:00:00,18.1,0.0
2023-01-03 08:00:00,19.0,0.0
2023-01-03 09:00:00,19.2,18.0
