time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,6.6,0.0
2022-12-31 01:00:00,5.1,0.0
2022-12-31 02:00:00,5.8,0.0
2022-12-31 03:00:00,4.5,0.0
2022-12-31 04:00:00,4.4,0.0
2022-12-31 05:00:00,6.1,0.0
2022-12-31 06:00:00,4.8,0.0
2022-12-31 07:00:00,3.4,0.0
2022-12-31 08:00:00,2.5,11.0
2022-12-31 09:00:00,2.6,105.0
2022-12-31 10:00:00,1.1,214.0
2022-12-31 11:00:00,1.8,283.0
2022-12-31 12:00:00,1.4,304.0
2022-12-31 13:00:00,4.3,251.0
2022-12-31 14:00:00,1.5,189.0
2022-12-31 15:00:00,4.8,92.0
2022-12-31 16:00:00,3.6,19.0
2022-12-31 17:00:00,3.0,0.0
2022-12-31 18:00:00,3.3,0.0
2022-12-31 19:00:00,0.7,0.0
2022-12-31 20:00:00,2.6,0.0
2022-12-31 21:00:00,3.9,0.0
2022-12-31 22:00:00,3.7,0.0
2022-12-31 23:00:00,4.7,0.0
2023-01-01 00:00:00,3.2,0.0
2023-01-01 01:00:00,7.8,0.0
2023-01-01 02:00:00,5.2,0.0
2023-01-01 03:00:00,3.3,0.0
2023-01-01 04:00:00,6.0,0.0
2023-01-01 05:00:00,7.4,0.0
2023-01-01 06:00:00,6.4,0.0
2023-01-01 07:00:00,5.8,0.0
2023-01-01 08:00:00,3.7,16.0
2023-01-01 09:00:00,5.4,112.0
2023-01-01 10:00:00,6.0,219.0
2023-01-01 11:00:00,3.5,295.0
2023-01-01 12:00:00,0.5,321.0
2023-01-01 13:00:00,5.9,302.0
2023-01-01 14:00:00,2.5,230.0
2023-01-01 15:00:00,3.6,127.0
2023-01-01 16:00:00,4.2,24.0
2023-01-01 17:00:00,2.5,0.0
2023-01-01 18:00:00,1.8,0.0
2023-01-01 19:00:00,3.1,0.0
2023-01-01 20:00:00,5.0,0.0
2023-01-01 21:00:00,4.2,0.0
2023-01-01 22:00:00,3.8,0.0
2023-01-01 23:00:00,4.2,0.0
2023-01-02 00:00:00,4.2,0.0
2023-01-02 01:00:00,6.0,0.0
2023-01-02 02:00:00,7.1,0.0
2023-01-02 03:00:00,4.8,0.0
2023-01-02 04:00:00,4.7,0.0
2023-01-02 05:00:00,5.5,0.0
2023-01-02 06:00:00,4.9,0.0
2023-01-02 07:00:00,5.0,0.0
2023-01-02 08:00:00,4.1,16.0
2023-01-02 09:00:00,4.0,115.0
2023-01-02 10:00:00,2.5,221.0
2023-01-02 11:00:00,1.8,298.0
2023-01-02 12:00:00,5.1,326.0
2023-01-02 13:00:00,3.5,281.0
2023-01-02 14:00:00,7.6,184.0
2023-01-02 15:00:00,18.0,65.0
2023-01-02 16:00:00,18.5,9.0
2023-01-02 17:00:00,16.6,0.0
2023-01-02 18:00:00,11.8,0.0
2023-01-02 19:00:00,9.7,0.0
2023-01-02 20:00:00,8.4,0.0
2023-01-02 21:00:00,7.6,0.0
2023-01-02 22:00:00,6.8,0.0
2023-01-02 23:00:00,5.4,0.0
2023-01-03 00:00:00,3.7,0.0
2023-01-03 01:00:00,1.4,0.0
2023-01-03 02:00:00,1.1,0.0
2023-01-03 03:00:00,4.3,0.0
2023-01-03 04:00:00,4.4,0.0
2023-01-03 05:00:00,3.5,0.0
