time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,23.8,0.0
2022-12-31 01:00:00,22.1,0.0
2022-12-31 02:00:00,19.0,0.0
2022-12-31 03:00:00,20.2,0.0
2022-12-31 04:00:00,17.1,0.0
2022-12-31 05:00:00,19.2,0.0
2022-12-31 06:00:00,25.3,0.0
2022-12-31 07:00:00,27.5,0.0
2022-12-31 08:00:00,28.6,22.0
2022-12-31 09:00:00,28.6,80.0
2022-12-31 10:00:00,27.8,65.0
2022-12-31 11:00:00,31.4,153.0
2022-12-31 12:00:00,28.2,189.0
2022-12-31 13:00:00,28.3,89.0
2022-12-31 14:00:00,25.7,59.0
2022-12-31 15:00:00,22.7,32.0
2022-12-31 16:00:00,25.0,0.0
2022-12-31 17:00:00,24.9,0.0
2022-12-31 18:00:00,23.6,0.0
2022-12-31 19:00:00,24.2,0.0
2022-12-31 20:00:00,24.3,0.0
2022-12-31 21:00:00,23.0,0.0
2022-12-31 22:00:00,19.3,0.0
2022-12-31 23:00:00,17.9,0.0
2023-01-01 00:00:00,18.3,0.0
2023-01-01 01:00:00,17.1,0.0
2023-01-01 02:00:00,17.6,0.0
2023-01-01 03:00:00,14.2,0.0
2023-01-01 04:00:00,14.7,0.0
2023-01-01 05:00:00,15.9,0.0
2023-01-01 06:00:00,18.1,0.0
2023-01-01 07:00:00,19.4,0.0
2023-01-01 08:00:00,18.1,29.0
2023-01-01 09:00:00,18.1,116.0
2023-01-01 10:00:00,16.8,192.0
2023-01-01 11:00:00,15.5,220.0
2023-01-01 12:00:00,16.5,190.0
2023-01-01 13:00:00,17.1,182.0
2023-01-01 14:00:00,15.4,101.0
2023-01-01 15:00:00,14.0,31.0
2023-01-01 16:00:00,13.5,0.0
2023-01-01 17:00:00,12.8,0.0
2023-01-01 18:00:00,13.2,0.0
2023-01-01 19:00:00,14.2,0.0
2023-01-01 20:00:00,11.7,0.0
2023-01-01 21:00:00,12.4,0.0
2023-01-01 22:00:00,13.5,0.0
2023-01-01 23:00:00,11.3,0.0
2023-01-02 00:00:00,9.7,0.0
2023-01-02 01:00:00,7.5,0.0
2023-01-02 02:00:00,6.6,0.0
2023-01-02 03:00:00,2.3,0.0
2023-01-02 04:00:00,2.7,0.0
2023-01-02 05:00:00,6.5,0.0
2023-01-02 06:00:00,5.9,0.0
2023-01-02 07:00:00,8.3,0.0
2023-01-02 08:00:00,7.9,26.0
2023-01-02 09:00:00,9.5,115.0
2023-01-02 10:00:00,5.8,199.0
2023-01-02 11:00:00,5.0,246.0
2023-01-02 12:00:00,7.0,249.0
2023-01-02 13:00:00,6.1,175.0
2023-01-02 14:00:00,6.6,76.0
2023-01-02 15:00:00,10.2,23.0
2023-01-02 16:00:00,14.0,0.0
2023-01-02 17:00:00,15.3,0.0
2023-01-02 18:00:00,16.9,0.0
2023-01-02 19:00:00,16.1,0.0
2023-01-02 20:00:00,15.0,0.0
2023-01-02 21:00:00,15.3,0.0
2023-01-02 22:00:00,16.9,0.0
2023-01-02 23:00:00,19.3,0.0
2023-01-03 00:00:00,16.8,0.0
2023-01-03 01:00:00,11.3,0.0
2023-01-03 02:00:00,10.6,0.0
2023-01-03 03:00:00,11.1,0.0
2023-01-03 04:00:00,13.1,0.0
2023-01-03 05:00:00,12.4,0.0
2023-01-03 06:00:00,11.5,0.0
2023-01-03 07:00:00,11.3,0.0
2023-01-03 08:00:00,11.6,28.0
2023-01-03 09:00:00,12.3,118.0
2023-01-03 10:00:00,11.9,198.0
2023-01-03 11:00:00,12.7,249.0
2023-01-03 12:00:00,11.9,246.0
2023-01-03 13:00:00,11.9,212.0
2023-01-03 14:00:00,10.7,136.0
2023-01-03 15:00:00,8.7,47.0
2023-01-03 16:00:00,10.7,0.0
2023-01-03 17:00:00,10.2,0.0
2023-01-03 18:00:00,9.5,0.0
2023-01-03 19:00:00,10.2,0.0
2023-01-03 20:00:00,12.2,0.0
2023-01-03 21:00:00,12.5,0.0
2023-01-03 22:00:00,12.0,0.0
2023-01-03 23:00:00,12.2,0.0
2023-01-04 00:00:00,12.9,0.0
2023-01-04 01:00:00,13.7,0.0
2023-01-04 02:00:00,14.7,0.0
2023-01-04 03:00:00,15.4,0.0
2023-01-04 04:00:00,15.3,0.0
2023-01-04 05:00:00,15.0,0.0
2023-01-04 06:00:00,15.6,0.0
2023-01-04 07:00:00,16.7,0.0
2023-01-04 08:00:00,17.5,24.0
2023-01-04 09:00:00,18.5,84.0
2023-01-04 10:00:00,20.7,115.0
2023-01-04 11:00:00,23.9,37.0
2023-01-04 12:00:00,20.3,43.0
2023-01-04 13:00:00,24.4,50.0
2023-01-04 14:00:00,27.6,31.0
2023-01-04 15:00:00,30.6,9.0
2023-01-04 16:00:00,29.8,0.0
2023-01-04 17:00:00,30.6,0.0
2023-01-04 18:00:00,31.0,0.0
2023-01-04 19:00:00,28.9,0.0
2023-01-04 20:00:00,29.9,0.0
2023-01-04 21:00:00,27.9,0.0
2023-01-04 22:00:00,28.4,0.0
2023-01-04 23:00:00,30.0,0.0
2023-01-05 00:00:00,30.2,0.0
2023-01-05 01:00:00,31.4,0.0
2023-01-05 02:00:00,34.2,0.0
2023-01-05 03:00:00,32.6,0.0
2023-01-05 04:00:00,26.4,0.0
2023-01-05 05:00:00,20.8,0.0
2023-01-05 06:00:00,20.6,0.0
2023-01-05 07:00:00,21.6,0.0
2023-01-05 08:00:00,22.7,24.0
2023-01-05 09:00:00,24.1,99.0
2023-01-05 10:00:00,23.4,179.0
2023-01-05 11:00:00,27.9,200.0
2023-01-05 12:00:00,25.6,219.0
2023-01-05 13:00:00,27.4,212.0
2023-01-05 14:00:00,24.6,133.0
2023-01-05 15:00:00,23.1,48.0
2023-01-05 16:00:00,20.9,0.0
2023-01-05 17:00:00,18.9,0.0
2023-01-05 18:00:00,18.8,0.0
2023-01-05 19:00:00,18.8,0.0
2023-01-05 20:00:00,18.4,0.0
2023-01-05 21:00:00,18.0,0.0
2023-01-05 22:00:00,17.0,0.0
2023-01-05 23:00:00,15.8,0.0
2023-01-06 00:00:00,7.2,0.0
2023-01-06 01:00:00,5.2,0.0
2023-01-06 02:00:00,7.7,0.0
2023-01-06 03:00:00,9.2,0.0
2023-01-06 04:00:00,7.6,0.0
2023-01-06 05:00:00,10.6,0.0
2023-01-06 06:00:00,13.0,0.0
2023-01-06 07:00:00,13.1,0.0
2023-01-06 08:00:00,13.4,12.0
2023-01-06 09:00:00,14.3,41.0
2023-01-06 10:00:00,17.8,81.0
2023-01-06 11:00:00,19.1,40.0
2023-01-06 12:00:00,16.1,61.0
2023-01-06 13:00:00,19.9,85.0
2023-01-06 14:00:00,23.8,97.0
2023-01-06 15:00:00,22.4,17.0
2023-01-06 16:00:00,17.7,1.0
2023-01-06 17:00:00,15.3,0.0
2023-01-06 18:00:00,17.7,0.0
2023-01-06 19:00:00,18.6,0.0
2023-01-06 20:00:00,18.9,0.0
2023-01-06 21:00:00,16.9,0.0
2023-01-06 22:00:00,13.5,0.0
2023-01-06 23:00:00,9.5,0.0
2023-01-07 00:00:00,14.0,0.0
2023-01-07 01:00:00,12.0,0.0
2023-01-07 02:00:00,12.1,0.0
2023-01-07 03:00:00,13.4,0.0
2023-01-07 04:00:00,14.5,0.0
2023-01-07 05:00:00,14.1,0.0
2023-01-07 06:00:00,11.7,0.0
2023-01-07 07:00:00,10.2,0.0
2023-01-07 08:00:00,10.3,25.0
2023-01-07 09:00:00,12.0,115.0
2023-01-07 10:00:00,11.2,177.0
2023-01-07 11:00:00,10.7,204.0
2023-01-07 12:00:00,9.5,217.0
2023-01-07 13:00:00,11.5,224.0
2023-01-07 14:00:00,8.2,116.0
2023-01-07 15:00:00,6.9,52.0
2023-01-07 16:00:00,6.6,1.0
2023-01-07 17:00:00,7.6,0.0
2023-01-07 18:00:00,10.9,0.0
2023-01-07 19:00:00,11.2,0.0
2023-01-07 20:00:00,12.3,0.0
2023-01-07 21:00:00,13.0,0.0
2023-01-07 22:00:00,13.0,0.0
2023-01-07 23:00:00,11.3,0.0
