time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,22.5,0.0
2022-12-31 01:00:00,22.0,0.0
2022-12-31 02:00:00,21.9,0.0
2022-12-31 03:00:00,21.7,0.0
2022-12-31 04:00:00,23.0,0.0
2022-12-31 05:00:00,23.5,0.0
2022-12-31 06:00:00,24.8,0.0
2022-12-31 07:00:00,26.1,0.0
2022-12-31 08:00:00,28.6,2.0
2022-12-31 09:00:00,27.4,33.0
2022-12-31 10:00:00,30.3,28.0
2022-12-31 11:00:00,29.0,56.0
2022-12-31 12:00:00,27.7,36.0
2022-12-31 13:00:00,26.9,40.0
2022-12-31 14:00:00,29.3,24.0
2022-12-31 15:00:00,26.9,21.0
2022-12-31 16:00:00,24.4,0.0
2022-12-31 17:00:00,28.3,0.0
2022-12-31 18:00:00,29.1,0.0
2022-12-31 19:00:00,29.3,0.0
2022-12-31 20:00:00,29.8,0.0
2022-12-31 21:00:00,28.3,0.0
2022-12-31 22:00:00,26.8,0.0
2022-12-31 23:00:00,28.3,0.0
2023-01-01 00:00:00,30.5,0.0
2023-01-01 01:00:00,30.7,0.0
2023-01-01 02:00:00,31.3,0.0
2023-01-01 03:00:00,28.4,0.0
2023-01-01 04:00:00,28.3,0.0
2023-01-01 05:00:00,27.4,0.0
2023-01-01 06:00:00,28.3,0.0
2023-01-01 07:00:00,29.5,0.0
2023-01-01 08:00:00,29.9,4.0
2023-01-01 09:00:00,29.0,38.0
2023-01-01 10:00:00,27.3,116.0
2023-01-01 11:00:00,25.7,144.0
2023-01-01 12:00:00,22.7,179.0
2023-01-01 13:00:00,21.3,126.0
2023-01-01 14:00:00,20.7,77.0
2023-01-01 15:00:00,16.1,23.0
2023-01-01 16:00:00,11.9,0.0
2023-01-01 17:00:00,10.7,0.0
2023-01-01 18:00:00,14.1,0.0
2023-01-01 19:00:00,13.7,0.0
2023-01-01 20:00:00,13.4,0.0
2023-01-01 21:00:00,13.4,0.0
2023-01-01 22:00:00,13.2,0.0
2023-01-01 23:00:00,14.4,0.0
2023-01-02 00:00:00,5.1,0.0
2023-01-02 01:00:00,8.0,0.0
2023-01-02 02:00:00,13.4,0.0
2023-01-02 03:00:00,15.6,0.0
2023-01-02 04:00:00,18.8,0.0
2023-01-02 05:00:00,19.2,0.0
2023-01-02 06:00:00,17.6,0.0
2023-01-02 07:00:00,19.6,0.0
2023-01-02 08:00:00,18.8,6.0
2023-01-02 09:00:00,19.8,51.0
2023-01-02 10:00:00,22.0,117.0
2023-01-02 11:00:00,22.8,173.0
2023-01-02 12:00:00,20.4,136.0
2023-01-02 13:00:00,22.7,61.0
2023-01-02 14:00:00,21.7,17.0
2023-01-02 15:00:00,21.7,10.0
2023-01-02 16:00:00,22.2,0.0
2023-01-02 17:00:00,20.6,0.0
2023-01-02 18:00:00,19.5,0.0
2023-01-02 19:00:00,16.9,0.0
2023-01-02 20:00:00,15.5,0.0
2023-01-02 21:00:00,16.8,0.0
2023-01-02 22:00:00,18.0,0.0
2023-01-02 23:00:00,17.2,0.0
2023-01-03 00:00:00,17.0,0.0
2023-01-03 01:00:00,18.4,0.0
2023-01-03 02:00:00,16.9,0.0
2023-01-03 03:00:00,15.5,0.0
2023-01-03 04:00:00,14.0,0.0
2023-01-03 05:00:00,14.4,0.0
2023-01-03 06:00:00,14.4,0.0
2023-01-03 07:00:00,13.8,0.0
2023-01-03 08:00:00,14.4,8.0
2023-01-03 09:00:00,15.5,77.0
2023-01-03 10:00:00,18.1,166.0
2023-01-03 11:00:00,18.7,160.0
2023-01-03 12:00:00,18.4,159.0
2023-01-03 13:00:00,15.6,125.0
2023-01-03 14:00:00,8.4,103.0
2023-01-03 15:00:00,9.0,31.0
2023-01-03 16:00:00,10.4,0.0
2023-01-03 17:00:00,9.9,0.0
2023-01-03 18:00:00,7.7,0.0
2023-01-03 19:00:00,7.2,0.0
2023-01-03 20:00:00,10.1,0.0
2023-01-03 21:00:00,10.1,0.0
2023-01-03 22:00:00,11.3,0.0
2023-01-03 23:00:00,11.3,0.0
2023-01-04 00:00:00,12.9,0.0
2023-01-04 01:00:00,14.1,0.0
2023-01-04 02:00:00,14.9,0.0
2023-01-04 03:00:00,16.2,0.0
2023-01-04 04:00:00,17.2,0.0
2023-01-04 05:00:00,19.1,0.0
2023-01-04 06:00:00,20.6,0.0
2023-01-04 07:00:00,22.3,0.0
2023-01-04 08:00:00,23.7,3.0
2023-01-04 09:00:00,26.3,6.0
2023-01-04 10:00:00,27.4,13.0
2023-01-04 11:00:00,29.8,21.0
2023-01-04 12:00:00,29.3,24.0
2023-01-04 13:00:00,30.8,33.0
2023-01-04 14:00:00,29.1,19.0
2023-01-04 15:00:00,27.3,6.0
2023-01-04 16:00:00,29.3,0.0
2023-01-04 17:00:00,31.5,0.0
2023-01-04 18:00:00,31.5,0.0
2023-01-04 19:00:00,31.6,0.0
2023-01-04 20:00:00,29.6,0.0
2023-01-04 21:00:00,23.7,0.0
2023-01-04 22:00:00,28.9,0.0
2023-01-04 23:00:00,29.5,0.0
2023-01-05 00:00:00,28.9,0.0
2023-01-05 01:00:00,28.7,0.0
2023-01-05 02:00:00,29.2,0.0
2023-01-05 03:00:00,31.3,0.0
2023-01-05 04:00:00,26.7,0.0
2023-01-05 05:00:00,28.2,0.0
2023-01-05 06:00:00,25.1,0.0
2023-01-05 07:00:00,24.2,0.0
2023-01-05 08:00:00,24.5,9.0
2023-01-05 09:00:00,25.2,80.0
2023-01-05 10:00:00,26.3,139.0
2023-01-05 11:00:00,34.0,157.0
2023-01-05 12:00:00,30.7,91.0
2023-01-05 13:00:00,28.3,170.0
2023-01-05 14:00:00,22.1,109.0
2023-01-05 15:00:00,19.7,32.0
2023-01-05 16:00:00,19.2,0.0
2023-01-05 17:00:00,18.8,0.0
2023-01-05 18:00:00,15.6,0.0
2023-01-05 19:00:00,12.0,0.0
2023-01-05 20:00:00,10.7,0.0
2023-01-05 21:00:00,8.6,0.0
2023-01-05 22:00:00,6.8,0.0
2023-01-05 23:00:00,4.3,0.0
2023-01-06 00:00:00,5.8,0.0
2023-01-06 01:00:00,6.9,0.0
2023-01-06 02:00:00,9.3,0.0
2023-01-06 03:00:00,12.2,0.0
2023-01-06 04:00:00,13.8,0.0
2023-01-06 05:00:00,16.1,0.0
2023-01-06 06:00:00,18.8,0.0
2023-01-06 07:00:00,17.6,0.0
2023-01-06 08:00:00,15.9,3.0
2023-01-06 09:00:00,15.9,21.0
2023-01-06 10:00:00,14.6,28.0
2023-01-06 11:00:00,15.9,57.0
2023-01-06 12:00:00,17.1,130.0
2023-01-06 13:00:00,18.7,31.0
2023-01-06 14:00:00,21.0,21.0
2023-01-06 15:00:00,22.3,16.0
2023-01-06 16:00:00,18.8,0.0
2023-01-06 17:00:00,16.6,0.0
2023-01-06 18:00:00,12.6,0.0
2023-01-06 19:00:00,11.5,0.0
2023-01-06 20:00:00,9.2,0.0
2023-01-06 21:00:00,9.2,0.0
2023-01-06 22:00:00,9.5,0.0
2023-01-06 23:00:00,9.6,0.0
2023-01-07 00:00:00,9.2,0.0
2023-01-07 01:00:00,8.2,0.0
2023-01-07 02:00:00,7.8,0.0
2023-01-07 03:00:00,10.0,0.0
2023-01-07 04:00:00,9.3,0.0
2023-01-07 05:00:00,8.4,0.0
2023-01-07 06:00:00,10.7,0.0
2023-01-07 07:00:00,11.6,0.0
2023-01-07 08:00:00,11.8,5.0
2023-01-07 09:00:00,12.8,49.0
2023-01-07 10:00:00,10.5,118.0
2023-01-07 11:00:00,11.3,158.0
2023-01-07 12:00:00,10.1,158.0
2023-01-07 13:00:00,10.8,176.0
2023-01-07 14:00:00,11.5,113.0
2023-01-07 15:00:00,10.1,37.0
2023-01-07 16:00:00,9.7,0.0
2023-01-07 17:00:00,10.9,0.0
2023-01-07 18:00:00,10.2,0.0
2023-01-07 19:00:00,11.3,0.0
2023-01-07 20:00:00,14.2,0.0
2023-01-07 21:00:00,16.1,0.0
2023-01-07 22:00:00,16.4,0.0
2023-01-07 23:00:00,15.9,0.0
2023-01-08 00:00:00,16.7,0.0
2023-01-08 01:00:00,15.5,0.0
2023-01-08 02:00:00,14.0,0.0
2023-01-08 03:00:00,13.9,0.0
2023-01-08 04:00:00,14.4,0.0
2023-01-08 05:00:00,14.8,0.0
2023-01-08 06:00:00,15.5,0.0
2023-01-08 07:00:00,15.9,0.0
2023-01-08 08:00:00,15.6,2.0
2023-01-08 09:00:00,13.0,18.0
2023-01-08 10:00:00,16.7,48.0
2023-01-08 11:00:00,16.2,53.0
2023-01-08 12:00:00,14.8,68.0
2023-01-08 13:00:00,16.1,91.0
2023-01-08 14:00:00,15.2,68.0
2023-01-08 15:00:00,14.4,17.0
2023-01-08 16:00:00,14.3,0.0
2023-01-08 17:00:00,13.4,0.0
2023-01-08 18:00:00,15.8,0.0
2023-01-08 19:00:00,14.8,0.0
2023-01-08 20:00:00,14.8,0.0
2023-01-08 21:00:00,14.0,0.0
2023-01-08 22:00:00,14.0,0.0
2023-01-08 23:00:00,13.8,0.0
2023-01-09 00:00:00,15.1,0.0
2023-01-09 01:00:00,12.8,0.0
2023-01-09 02:00:00,12.9,0.0
2023-01-09 03:00:00,11.7,0.0
2023-01-09 04:00:00,12.9,0.0
2023-01-09 05:00:00,14.0,0.0
2023-01-09 06:00:00,14.6,0.0
2023-01-09 07:00:00,13.7,0.0
2023-01-09 08:00:00,15.8,1.0
2023-01-09 09:00:00,15.4,14.0
2023-01-09 10:00:00,15.5,30.0
2023-01-09 11:00:00,15.3,42.0
2023-01-09 12:00:00,19.7,142.0
2023-01-09 13:00:00,16.3,159.0
2023-01-09 14:00:00,12.0,121.0
2023-01-09 15:00:00,7.2,41.0
2023-01-09 16:00:00,7.9,0.0
2023-01-09 17:00:00,10.6,0.0
2023-01-09 18:00:00,12.6,0.0
2023-01-09 19:00:00,13.6,0.0
2023-01-09 20:00:00,13.0,0.0
2023-01-09 21:00:00,13.2,0.0
2023-01-09 22:00:00,14.3,0.0
2023-01-09 23:00:00,15.0,0.0
2023-01-10 00:00:00,15.3,0.0
2023-01-10 01:00:00,17.7,0.0
2023-01-10 02:00:00,15.5,0.0
2023-01-10 03:00:00,13.4,0.0
2023-01-10 04:00:00,13.7,0.0
2023-01-10 05:00:00,15.5,0.0
2023-01-10 06:00:00,14.8,0.0
2023-01-10 07:00:00,14.0,0.0
2023-01-10 08:00:00,13.7,4.0
2023-01-10 09:00:00,15.8,31.0
2023-01-10 10:00:00,16.2,53.0
2023-01-10 11:00:00,18.8,112.0
2023-01-10 12:00:00,18.5,161.0
2023-01-10 13:00:00,19.2,184.0
2023-01-10 14:00:00,13.9,97.0
2023-01-10 15:00:00,10.5,38.0
2023-01-10 16:00:00,10.5,0.0
2023-01-10 17:00:00,10.2,0.0
2023-01-10 18:00:00,10.5,0.0
2023-01-10 19:00:00,12.2,0.0
2023-01-10 20:00:00,14.7,0.0
2023-01-10 21:00:00,16.2,0.0
2023-01-10 22:00:00,17.2,0.0
2023-01-10 23:00:00,18.9,0.0
