time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,35.3,0.0
2022-12-31 01:00:00,35.4,0.0
2022-12-31 02:00:00,29.5,0.0
2022-12-31 03:00:00,26.8,0.0
2022-12-31 04:00:00,26.5,0.0
2022-12-31 05:00:00,25.5,0.0
2022-12-31 06:00:00,23.6,0.0
2022-12-31 07:00:00,23.9,0.0
2022-12-31 08:00:00,20.5,1.0
2022-12-31 09:00:00,19.2,11.0
2022-12-31 10:00:00,22.5,33.0
2022-12-31 11:00:00,22.9,31.0
2022-12-31 12:00:00,19.7,30.0
2022-12-31 13:00:00,21.1,45.0
2022-12-31 14:00:00,22.5,6.0
2022-12-31 15:00:00,17.9,1.0
2022-12-31 16:00:00,16.6,0.0
2022-12-31 17:00:00,29.6,0.0
2022-12-31 18:00:00,26.2,0.0
2022-12-31 19:00:00,24.8,0.0
2022-12-31 20:00:00,23.8,0.0
2022-12-31 21:00:00,20.2,0.0
2022-12-31 22:00:00,19.4,0.0
2022-12-31 23:00:00,15.9,0.0
2023-01-01 00:00:00,20.7,0.0
2023-01-01 01:00:00,28.3,0.0
2023-01-01 02:00:00,27.8,0.0
2023-01-01 03:00:00,38.2,0.0
2023-01-01 04:00:00,39.7,0.0
2023-01-01 05:00:00,42.5,0.0
2023-01-01 06:00:00,41.9,0.0
2023-01-01 07:00:00,39.6,0.0
2023-01-01 08:00:00,36.3,0.0
2023-01-01 09:00:00,35.5,11.0
2023-01-01 10:00:00,35.7,32.0
2023-01-01 11:00:00,38.8,56.0
2023-01-01 12:00:00,36.7,72.0
2023-01-01 13:00:00,35.1,120.0
2023-01-01 14:00:00,32.0,63.0
2023-01-01 15:00:00,30.6,10.0
2023-01-01 16:00:00,31.1,0.0
2023-01-01 17:00:00,28.7,0.0
2023-01-01 18:00:00,26.3,0.0
2023-01-01 19:00:00,24.5,0.0
2023-01-01 20:00:00,25.0,0.0
2023-01-01 21:00:00,23.3,0.0
2023-01-01 22:00:00,21.2,0.0
2023-01-01 23:00:00,17.8,0.0
2023-01-02 00:00:00,13.1,0.0
2023-01-02 01:00:00,14.8,0.0
2023-01-02 02:00:00,16.6,0.0
2023-01-02 03:00:00,14.4,0.0
2023-01-02 04:00:00,13.1,0.0
2023-01-02 05:00:00,11.3,0.0
