time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,9.1,0.0
2022-12-31 01:00:00,6.9,0.0
2022-12-31 02:00:00,7.9,0.0
2022-12-31 03:00:00,3.6,0.0
2022-12-31 04:00:00,3.3,0.0
2022-12-31 05:00:00,5.9,0.0
2022-12-31 06:00:00,5.4,0.0
2022-12-31 07:00:00,4.4,0.0
2022-12-31 08:00:00,3.8,4.0
2022-12-31 09:00:00,6.0,97.0
2022-12-31 10:00:00,4.0,244.0
2022-12-31 11:00:00,4.0,364.0
2022-12-31 12:00:00,4.5,436.0
2022-12-31 13:00:00,3.7,452.0
2022-12-31 14:00:00,5.8,409.0
2022-12-31 15:00:00,5.4,314.0
2022-12-31 16:00:00,3.1,179.0
2022-12-31 17:00:00,4.9,41.0
2022-12-31 18:00:00,4.7,0.0
2022-12-31 19:00:00,7.4,0.0
2022-12-31 20:00:00,10.0,0.0
2022-12-31 21:00:00,7.3,0.0
2022-12-31 22:00:00,8.2,0.0
2022-12-31 23:00:00,10.1,0.0
2023-01-01 00:00:00,4.1,0.0
2023-01-01 01:00:00,5.2,0.0
2023-01-01 02:00:00,3.6,0.0
2023-01-01 03:00:00,5.9,0.0
2023-01-01 04:00:00,6.0,0.0
2023-01-01 05:00:00,5.2,0.0
2023-01-01 06:00:00,5.2,0.0
2023-01-01 07:00:00,4.7,0.0
2023-01-01 08:00:00,5.8,2.0
2023-01-01 09:00:00,7.9,55.0
2023-01-01 10:00:00,5.4,178.0
2023-01-01 11:00:00,3.6,306.0
2023-01-01 12:00:00,4.1,377.0
2023-01-01 13:00:00,2.3,377.0
2023-01-01 14:00:00,2.8,377.0
2023-01-01 15:00:00,3.6,252.0
2023-01-01 16:00:00,4.0,135.0
2023-01-01 17:00:00,7.2,30.0
2023-01-01 18:00:00,11.3,0.0
2023-01-01 19:00:00,12.3,0.0
2023-01-01 20:00:00,11.6,0.0
2023-01-01 21:00:00,11.3,0.0
2023-01-01 22:00:00,10.6,0.0
2023-01-01 23:00:00,10.2,0.0
2023-01-02 00:00:00,7.9,0.0
2023-01-02 01:00:00,6.4,0.0
2023-01-02 02:00:00,4.8,0.0
2023-01-02 03:00:00,4.7,0.0
2023-01-02 04:00:00,4.0,0.0
2023-01-02 05:00:00,4.0,0.0
2023-01-02 06:00:00,3.2,0.0
2023-01-02 07:00:00,3.3,0.0
2023-01-02 08:00:00,3.6,1.0
2023-01-02 09:00:00,3.3,12.0
2023-01-02 10:00:00,6.8,88.0
2023-01-02 11:00:00,6.5,339.0
2023-01-02 12:00:00,6.1,375.0
2023-01-02 13:00:00,5.2,151.0
2023-01-02 14:00:00,5.1,239.0
2023-01-02 15:00:00,5.4,207.0
2023-01-02 16:00:00,3.6,83.0
2023-01-02 17:00:00,4.9,31.0
2023-01-02 18:00:00,5.8,0.0
2023-01-02 19:00:00,3.7,0.0
2023-01-02 20:00:00,5.6,0.0
2023-01-02 21:00:00,5.9,0.0
2023-01-02 22:00:00,6.3,0.0
2023-01-02 23:00:00,6.8,0.0
2023-01-03 00:00:00,6.5,0.0
2023-01-03 01:00:00,6.5,0.0
2023-01-03 02:00:00,5.9,0.0
2023-01-03 03:00:00,4.3,0.0
2023-01-03 04:00:00,6.4,0.0
2023-01-03 05:00:00,6.8,0.0
2023-01-03 06:00:00,6.0,0.0
2023-01-03 07:00:00,5.2,0.0
2023-01-03 08:00:00,6.3,3.0
2023-01-03 09:00:00,9.2,89.0
2023-01-03 10:00:00,9.2,236.0
2023-01-03 11:00:00,9.2,359.0
2023-01-03 12:00:00,5.7,433.0
2023-01-03 13:00:00,6.2,419.0
2023-01-03 14:00:00,5.0,379.0
2023-01-03 15:00:00,3.8,308.0
2023-01-03 16:00:00,3.5,186.0
2023-01-03 17:00:00,6.0,47.0
2023-01-03 18:00:00,6.8,0.0
2023-01-03 19:00:00,5.8,0.0
2023-01-03 20:00:00,4.6,0.0
2023-01-03 21:00:00,4.7,0.0
2023-01-03 22:00:00,5.7,0.0
2023-01-03 23:00:00,5.8,0.0
2023-01-04 00:00:00,7.4,0.0
2023-01-04 01:00:00,6.3,0.0
2023-01-04 02:00:00,6.8,0.0
2023-01-04 03:00:00,7.5,0.0
2023-01-04 04:00:00,7.4,0.0
2023-01-04 05:00:00,6.5,0.0
2023-01-04 06:00:00,6.3,0.0
2023-01-04 07:00:00,7.0,0.0
2023-01-04 08:00:00,6.1,4.0
2023-01-04 09:00:00,7.2,97.0
2023-01-04 10:00:00,5.4,246.0
2023-01-04 11:00:00,4.6,366.0
2023-01-04 12:00:00,2.9,439.0
2023-01-04 13:00:00,2.6,457.0
2023-01-04 14:00:00,1.5,419.0
2023-01-04 15:00:00,1.0,327.0
2023-01-04 16:00:00,1.1,193.0
2023-01-04 17:00:00,3.3,50.0
2023-01-04 18:00:00,3.4,0.0
2023-01-04 19:00:00,4.3,0.0
2023-01-04 20:00:00,5.0,0.0
2023-01-04 21:00:00,5.0,0.0
2023-01-04 22:00:00,6.5,0.0
2023-01-04 23:00:00,6.8,0.0
2023-01-05 00:00:00,7.1,0.0
2023-01-05 01:00:00,7.6,0.0
2023-01-05 02:00:00,8.5,0.0
2023-01-05 03:00:00,8.4,0.0
2023-01-05 04:00:00,8.2,0.0
2023-01-05 05:00:00,7.7,0.0
2023-01-05 06:00:00,6.6,0.0
2023-01-05 07:00:00,6.6,0.0
2023-01-05 08:00:00,7.2,3.0
2023-01-05 09:00:00,9.5,95.0
2023-01-05 10:00:00,5.9,242.0
2023-01-05 11:00:00,4.0,363.0
2023-01-05 12:00:00,2.7,438.0
2023-01-05 13:00:00,2.0,459.0
2023-01-05 14:00:00,2.9,421.0
2023-01-05 15:00:00,3.6,329.0
2023-01-05 16:00:00,4.6,196.0
2023-01-05 17:00:00,8.5,52.0
2023-01-05 18:00:00,8.8,0.0
2023-01-05 19:00:00,8.0,0.0
2023-01-05 20:00:00,5.1,0.0
