time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,22.7,0.0
2022-12-31 01:00:00,29.4,0.0
2022-12-31 02:00:00,28.0,0.0
2022-12-31 03:00:00,31.8,0.0
2022-12-31 04:00:00,31.4,0.0
2022-12-31 05:00:00,31.8,0.0
2022-12-31 06:00:00,35.6,0.0
2022-12-31 07:00:00,39.6,0.0
2022-12-31 08:00:00,41.9,1.0
2022-12-31 09:00:00,44.1,5.0
2022-12-31 10:00:00,45.1,5.0
2022-12-31 11:00:00,44.4,12.0
2022-12-31 12:00:00,38.2,13.0
2022-12-31 13:00:00,39.4,6.0
2022-12-31 14:00:00,40.0,0.0
2022-12-31 15:00:00,41.3,0.0
2022-12-31 16:00:00,42.4,0.0
2022-12-31 17:00:00,43.4,0.0
2022-12-31 18:00:00,43.6,0.0
2022-12-31 19:00:00,44.1,0.0
2022-12-31 20:00:00,42.2,0.0
2022-12-31 21:00:00,40.5,0.0
2022-12-31 22:00:00,39.4,0.0
2022-12-31 23:00:00,39.0,0.0
2023-01-01 00:00:00,31.5,0.0
2023-01-01 01:00:00,27.2,0.0
2023-01-01 02:00:00,24.1,0.0
2023-01-01 03:00:00,23.2,0.0
2023-01-01 04:00:00,20.9,0.0
2023-01-01 05:00:00,18.4,0.0
2023-01-01 06:00:00,14.4,0.0
2023-01-01 07:00:00,13.5,0.0
2023-01-01 08:00:00,13.1,3.0
2023-01-01 09:00:00,13.2,28.0
2023-01-01 10:00:00,12.7,56.0
2023-01-01 11:00:00,14.1,67.0
2023-01-01 12:00:00,15.2,68.0
2023-01-01 13:00:00,14.8,30.0
2023-01-01 14:00:00,16.2,1.0
2023-01-01 15:00:00,16.2,0.0
2023-01-01 16:00:00,16.9,0.0
2023-01-01 17:00:00,19.5,0.0
2023-01-01 18:00:00,19.4,0.0
2023-01-01 19:00:00,19.8,0.0
2023-01-01 20:00:00,20.3,0.0
2023-01-01 21:00:00,20.9,0.0
2023-01-01 22:00:00,21.7,0.0
2023-01-01 23:00:00,21.1,0.0
2023-01-02 00:00:00,21.9,0.0
2023-01-02 01:00:00,20.6,0.0
2023-01-02 02:00:00,19.5,0.0
2023-01-02 03:00:00,20.6,0.0
