time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,34.1,0.0
2022-12-31 01:00:00,36.4,0.0
2022-12-31 02:00:00,36.6,0.0
2022-12-31 03:00:00,36.6,0.0
2022-12-31 04:00:00,33.7,0.0
2022-12-31 05:00:00,34.0,0.0
2022-12-31 06:00:00,31.9,0.0
2022-12-31 07:00:00,29.0,0.0
2022-12-31 08:00:00,28.3,0.0
2022-12-31 09:00:00,27.9,26.0
2022-12-31 10:00:00,27.9,53.0
2022-12-31 11:00:00,26.3,138.0
2022-12-31 12:00:00,25.1,225.0
2022-12-31 13:00:00,26.4,219.0
2022-12-31 14:00:00,30.4,166.0
2022-12-31 15:00:00,28.5,78.0
2022-12-31 16:00:00,28.2,22.0
2022-12-31 17:00:00,27.7,0.0
2022-12-31 18:00:00,27.9,0.0
2022-12-31 19:00:00,26.2,0.0
2022-12-31 20:00:00,26.8,0.0
2022-12-31 21:00:00,28.9,0.0
2022-12-31 22:00:00,29.7,0.0
2022-12-31 23:00:00,30.5,0.0
2023-01-01 00:00:00,27.9,0.0
2023-01-01 01:00:00,26.3,0.0
2023-01-01 02:00:00,23.1,0.0
2023-01-01 03:00:00,21.4,0.0
2023-01-01 04:00:00,20.7,0.0
2023-01-01 05:00:00,21.7,0.0
2023-01-01 06:00:00,21.4,0.0
2023-01-01 07:00:00,21.7,0.0
2023-01-01 08:00:00,20.9,0.0
2023-01-01 09:00:00,18.2,7.0
2023-01-01 10:00:00,17.1,22.0
2023-01-01 11:00:00,17.9,20.0
2023-01-01 12:00:00,15.1,36.0
2023-01-01 13:00:00,14.6,21.0
2023-01-01 14:00:00,13.4,15.0
2023-01-01 15:00:00,15.6,23.0
2023-01-01 16:00:00,15.8,6.0
2023-01-01 17:00:00,16.2,0.0
2023-01-01 18:00:00,16.4,0.0
2023-01-01 19:00:00,17.6,0.0
2023-01-01 20:00:00,21.5,0.0
2023-01-01 21:00:00,25.1,0.0
2023-01-01 22:00:00,29.2,0.0
2023-01-01 23:00:00,25.6,0.0
2023-01-02 00:00:00,22.8,0.0
2023-01-02 01:00:00,21.7,0.0
2023-01-02 02:00:00,20.4,0.0
2023-01-02 03:00:00,18.1,0.0
2023-01-02 04:00:00,16.8,0.0
2023-01-02 05:00:00,13.3,0.0
2023-01-02 06:00:00,13.0,0.0
2023-01-02 07:00:00,10.0,0.0
2023-01-02 08:00:00,10.0,0.0
2023-01-02 09:00:00,10.9,11.0
2023-01-02 10:00:00,16.6,76.0
2023-01-02 11:00:00,19.1,107.0
2023-01-02 12:00:00,14.8,234.0
2023-01-02 13:00:00,15.6,129.0
2023-01-02 14:00:00,14.2,172.0
2023-01-02 15:00:00,12.5,126.0
2023-01-02 16:00:00,9.4,36.0
2023-01-02 17:00:00,10.1,0.0
2023-01-02 18:00:00,11.3,0.0
2023-01-02 19:00:00,11.9,0.0
2023-01-02 20:00:00,11.5,0.0
2023-01-02 21:00:00,10.5,0.0
2023-01-02 22:00:00,10.3,0.0
2023-01-02 23:00:00,10.9,0.0
2023-01-03 00:00:00,12.8,0.0
2023-01-03 01:00:00,13.6,0.0
2023-01-03 02:00:00,14.6,0.0
2023-01-03 03:00:00,14.8,0.0
2023-01-03 04:00:00,15.1,0.0
2023-01-03 05:00:00,15.0,0.0
2023-01-03 06:00:00,15.1,0.0
2023-01-03 07:00:00,15.1,0.0
2023-01-03 08:00:00,15.0,1.0
2023-01-03 09:00:00,15.5,56.0
2023-01-03 10:00:00,13.6,154.0
2023-01-03 11:00:00,14.3,217.0
2023-01-03 12:00:00,19.7,248.0
2023-01-03 13:00:00,20.1,170.0
2023-01-03 14:00:00,20.9,114.0
2023-01-03 15:00:00,17.7,56.0
2023-01-03 16:00:00,18.2,29.0
2023-01-03 17:00:00,19.4,0.0
2023-01-03 18:00:00,20.5,0.0
2023-01-03 19:00:00,22.5,0.0
2023-01-03 20:00:00,24.5,0.0
2023-01-03 21:00:00,26.3,0.0
2023-01-03 22:00:00,27.4,0.0
2023-01-03 23:00:00,26.9,0.0
2023-01-04 00:00:00,27.4,0.0
2023-01-04 01:00:00,27.3,0.0
2023-01-04 02:00:00,27.3,0.0
2023-01-04 03:00:00,28.0,0.0
2023-01-04 04:00:00,27.4,0.0
2023-01-04 05:00:00,27.0,0.0
2023-01-04 06:00:00,27.3,0.0
2023-01-04 07:00:00,24.4,0.0
2023-01-04 08:00:00,25.3,0.0
2023-01-04 09:00:00,27.2,16.0
2023-01-04 10:00:00,26.9,15.0
2023-01-04 11:00:00,28.9,75.0
2023-01-04 12:00:00,27.3,33.0
2023-01-04 13:00:00,28.3,44.0
2023-01-04 14:00:00,27.1,27.0
2023-01-04 15:00:00,26.9,27.0
2023-01-04 16:00:00,24.1,16.0
2023-01-04 17:00:00,23.2,0.0
2023-01-04 18:00:00,23.7,0.0
2023-01-04 19:00:00,24.6,0.0
2023-01-04 20:00:00,24.9,0.0
2023-01-04 21:00:00,26.2,0.0
2023-01-04 22:00:00,24.5,0.0
2023-01-04 23:00:00,21.4,0.0
2023-01-05 00:00:00,20.2,0.0
2023-01-05 01:00:00,15.6,0.0
2023-01-05 02:00:00,19.7,0.0
2023-01-05 03:00:00,20.4,0.0
2023-01-05 04:00:00,17.2,0.0
2023-01-05 05:00:00,17.7,0.0
2023-01-05 06:00:00,15.7,0.0
2023-01-05 07:00:00,16.7,0.0
2023-01-05 08:00:00,17.5,0.0
2023-01-05 09:00:00,17.2,20.0
2023-01-05 10:00:00,20.2,134.0
2023-01-05 11:00:00,16.8,88.0
2023-01-05 12:00:00,16.3,159.0
2023-01-05 13:00:00,13.9,60.0
2023-01-05 14:00:00,14.4,46.0
2023-01-05 15:00:00,14.2,35.0
2023-01-05 16:00:00,14.5,10.0
2023-01-05 17:00:00,14.8,0.0
2023-01-05 18:00:00,14.3,0.0
2023-01-05 19:00:00,14.5,0.0
2023-01-05 20:00:00,15.1,0.0
2023-01-05 21:00:00,15.7,0.0
2023-01-05 22:00:00,16.3,0.0
2023-01-05 23:00:00,15.3,0.0
2023-01-06 00:00:00,15.9,0.0
2023-01-06 01:00:00,15.0,0.0
2023-01-06 02:00:00,16.9,0.0
2023-01-06 03:00:00,18.3,0.0
2023-01-06 04:00:00,18.4,0.0
2023-01-06 05:00:00,17.5,0.0
2023-01-06 06:00:00,18.7,0.0
2023-01-06 07:00:00,20.8,0.0
2023-01-06 08:00:00,18.9,1.0
2023-01-06 09:00:00,19.5,21.0
2023-01-06 10:00:00,18.5,67.0
2023-01-06 11:00:00,24.6,109.0
2023-01-06 12:00:00,25.0,84.0
2023-01-06 13:00:00,22.9,109.0
2023-01-06 14:00:00,20.9,87.0
2023-01-06 15:00:00,17.7,89.0
2023-01-06 16:00:00,16.4,20.0
2023-01-06 17:00:00,15.1,0.0
2023-01-06 18:00:00,14.6,0.0
2023-01-06 19:00:00,15.3,0.0
2023-01-06 20:00:00,16.6,0.0
2023-01-06 21:00:00,16.6,0.0
2023-01-06 22:00:00,17.4,0.0
2023-01-06 23:00:00,17.2,0.0
2023-01-07 00:00:00,18.1,0.0
2023-01-07 01:00:00,16.4,0.0
2023-01-07 02:00:00,14.8,0.0
2023-01-07 03:00:00,15.5,0.0
2023-01-07 04:00:00,16.6,0.0
2023-01-07 05:00:00,16.7,0.0
2023-01-07 06:00:00,17.8,0.0
2023-01-07 07:00:00,19.0,0.0
