time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,8.7,0.0
2022-12-31 01:00:00,9.7,0.0
2022-12-31 02:00:00,10.7,0.0
2022-12-31 03:00:00,9.8,0.0
2022-12-31 04:00:00,8.9,0.0
2022-12-31 05:00:00,6.8,0.0
2022-12-31 06:00:00,7.6,0.0
2022-12-31 07:00:00,7.2,2.0
2022-12-31 08:00:00,5.8,67.0
2022-12-31 09:00:00,9.1,181.0
2022-12-31 10:00:00,10.0,247.0
2022-12-31 11:00:00,11.2,301.0
2022-12-31 12:00:00,11.7,313.0
2022-12-31 13:00:00,12.5,268.0
2022-12-31 14:00:00,8.7,179.0
2022-12-31 15:00:00,6.9,69.0
2022-12-31 16:00:00,8.9,2.0
2022-12-31 17:00:00,8.7,0.0
2022-12-31 18:00:00,8.7,0.0
2022-12-31 19:00:00,9.2,0.0
2022-12-31 20:00:00,9.2,0.0
2022-12-31 21:00:00,9.0,0.0
2022-12-31 22:00:00,8.7,0.0
2022-12-31 23:00:00,8.6,0.0
2023-01-01 00:00:00,11.9,0.0
2023-01-01 01:00:00,8.9,0.0
2023-01-01 02:00:00,10.2,0.0
2023-01-01 03:00:00,9.8,0.0
2023-01-01 04:00:00,7.9,0.0
2023-01-01 05:00:00,7.7,0.0
2023-01-01 06:00:00,8.7,0.0
2023-01-01 07:00:00,9.4,3.0
2023-01-01 08:00:00,12.0,64.0
2023-01-01 09:00:00,13.0,143.0
2023-01-01 10:00:00,14.2,262.0
2023-01-01 11:00:00,16.5,280.0
2023-01-01 12:00:00,15.7,286.0
2023-01-01 13:00:00,15.9,262.0
2023-01-01 14:00:00,12.9,170.0
2023-01-01 15:00:00,9.9,69.0
2023-01-01 16:00:00,8.3,2.0
2023-01-01 17:00:00,6.9,0.0
2023-01-01 18:00:00,7.5,0.0
2023-01-01 19:00:00,8.0,0.0
2023-01-01 20:00:00,6.8,0.0
2023-01-01 21:00:00,6.6,0.0
2023-01-01 22:00:00,7.1,0.0
2023-01-01 23:00:00,7.6,0.0
2023-01-02 00:00:00,10.3,0.0
2023-01-02 01:00:00,8.2,0.0
2023-01-02 02:00:00,7.6,0.0
2023-01-02 03:00:00,7.1,0.0
2023-01-02 04:00:00,8.7,0.0
2023-01-02 05:00:00,10.0,0.0
2023-01-02 06:00:00,9.9,0.0
2023-01-02 07:00:00,7.5,3.0
2023-01-02 08:00:00,10.5,72.0
2023-01-02 09:00:00,11.2,178.0
2023-01-02 10:00:00,14.3,249.0
2023-01-02 11:00:00,13.6,323.0
2023-01-02 12:00:00,14.9,317.0
2023-01-02 13:00:00,15.6,276.0
2023-01-02 14:00:00,14.8,186.0
2023-01-02 15:00:00,13.9,74.0
2023-01-02 16:00:00,13.1,3.0
