time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,5.5,0.0
2022-12-31 01:00:00,5.6,0.0
2022-12-31 02:00:00,5.6,0.0
2022-12-31 03:00:00,5.4,0.0
2022-12-31 04:00:00,5.1,0.0
2022-12-31 05:00:00,4.7,0.0
2022-12-31 06:00:00,4.4,0.0
2022-12-31 07:00:00,5.1,1.0
2022-12-31 08:00:00,4.6,63.0
2022-12-31 09:00:00,4.7,87.0
2022-12-31 10:00:00,3.0,125.0
2022-12-31 11:00:00,2.7,112.0
2022-12-31 12:00:00,2.1,80.0
2022-12-31 13:00:00,2.5,171.0
2022-12-31 14:00:00,5.0,75.0
2022-12-31 15:00:00,8.0,20.0
2022-12-31 16:00:00,7.0,0.0
2022-12-31 17:00:00,7.9,0.0
2022-12-31 18:00:00,8.3,0.0
2022-12-31 19:00:00,9.3,0.0
2022-12-31 20:00:00,8.7,0.0
2022-12-31 21:00:00,8.7,0.0
2022-12-31 22:00:00,8.7,0.0
2022-12-31 23:00:00,9.7,0.0
2023-01-01 00:00:00,13.3,0.0
2023-01-01 01:00:00,9.2,0.0
2023-01-01 02:00:00,7.9,0.0
2023-01-01 03:00:00,9.2,0.0
2023-01-01 04:00:00,8.0,0.0
2023-01-01 05:00:00,7.2,0.0
2023-01-01 06:00:00,7.6,0.0
2023-01-01 07:00:00,7.9,4.0
2023-01-01 08:00:00,5.4,53.0
2023-01-01 09:00:00,4.7,117.0
2023-01-01 10:00:00,4.7,194.0
2023-01-01 11:00:00,5.2,220.0
2023-01-01 12:00:00,4.3,196.0
2023-01-01 13:00:00,6.2,152.0
2023-01-01 14:00:00,7.3,59.0
2023-01-01 15:00:00,10.0,16.0
2023-01-01 16:00:00,8.8,0.0
2023-01-01 17:00:00,6.6,0.0
2023-01-01 18:00:00,6.4,0.0
2023-01-01 19:00:00,8.7,0.0
2023-01-01 20:00:00,7.9,0.0
2023-01-01 21:00:00,6.0,0.0
2023-01-01 22:00:00,4.6,0.0
2023-01-01 23:00:00,5.2,0.0
2023-01-02 00:00:00,5.0,0.0
2023-01-02 01:00:00,5.7,0.0
2023-01-02 02:00:00,6.1,0.0
2023-01-02 03:00:00,5.4,0.0
2023-01-02 04:00:00,4.4,0.0
2023-01-02 05:00:00,4.3,0.0
2023-01-02 06:00:00,5.7,0.0
2023-01-02 07:00:00,5.7,1.0
2023-01-02 08:00:00,5.4,15.0
2023-01-02 09:00:00,7.4,63.0
2023-01-02 10:00:00,9.3,104.0
2023-01-02 11:00:00,9.4,122.0
2023-01-02 12:00:00,7.9,91.0
2023-01-02 13:00:00,5.0,92.0
2023-01-02 14:00:00,4.8,30.0
2023-01-02 15:00:00,6.6,12.0
2023-01-02 16:00:00,5.0,0.0
2023-01-02 17:00:00,4.6,0.0
2023-01-02 18:00:00,3.1,0.0
2023-01-02 19:00:00,1.8,0.0
