time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,6.2,0.0
2022-12-31 01:00:00,6.4,0.0
2022-12-31 02:00:00,7.5,0.0
2022-12-31 03:00:00,7.8,0.0
2022-12-31 04:00:00,7.2,0.0
2022-12-31 05:00:00,5.9,0.0
2022-12-31 06:00:00,4.7,0.0
2022-12-31 07:00:00,3.4,3.0
2022-12-31 08:00:00,4.5,78.0
2022-12-31 09:00:00,4.6,203.0
2022-12-31 10:00:00,4.3,311.0
2022-12-31 11:00:00,5.2,377.0
2022-12-31 12:00:00,4.1,389.0
2022-12-31 13:00:00,3.4,306.0
2022-12-31 14:00:00,2.3,225.0
2022-12-31 15:00:00,2.9,127.0
2022-12-31 16:00:00,2.9,21.0
2022-12-31 17:00:00,5.1,0.0
2022-12-31 18:00:00,5.1,0.0
2022-12-31 19:00:00,2.2,0.0
2022-12-31 20:00:00,4.2,0.0
2022-12-31 21:00:00,5.0,0.0
2022-12-31 22:00:00,4.8,0.0
2022-12-31 23:00:00,5.7,0.0
2023-01-01 00:00:00,5.9,0.0
2023-01-01 01:00:00,5.4,0.0
2023-01-01 02:00:00,5.3,0.0
2023-01-01 03:00:00,5.8,0.0
2023-01-01 04:00:00,7.9,0.0
2023-01-01 05:00:00,6.8,0.0
2023-01-01 06:00:00,6.8,0.0
2023-01-01 07:00:00,7.1,3.0
2023-01-01 08:00:00,6.3,69.0
2023-01-01 09:00:00,6.9,171.0
2023-01-01 10:00:00,6.9,316.0
2023-01-01 11:00:00,6.5,378.0
2023-01-01 12:00:00,5.5,387.0
2023-01-01 13:00:00,3.2,319.0
2023-01-01 14:00:00,3.3,225.0
2023-01-01 15:00:00,3.6,128.0
2023-01-01 16:00:00,6.0,23.0
2023-01-01 17:00:00,5.4,0.0
2023-01-01 18:00:00,2.9,0.0
2023-01-01 19:00:00,2.9,0.0
2023-01-01 20:00:00,5.6,0.0
2023-01-01 21:00:00,6.4,0.0
2023-01-01 22:00:00,5.4,0.0
2023-01-01 23:00:00,3.8,0.0
2023-01-02 00:00:00,7.5,0.0
2023-01-02 01:00:00,5.7,0.0
2023-01-02 02:00:00,5.0,0.0
2023-01-02 03:00:00,5.6,0.0
2023-01-02 04:00:00,6.1,0.0
2023-01-02 05:00:00,6.5,0.0
2023-01-02 06:00:00,6.4,0.0
2023-01-02 07:00:00,7.2,2.0
2023-01-02 08:00:00,7.6,64.0
2023-01-02 09:00:00,7.7,148.0
2023-01-02 10:00:00,6.2,257.0
2023-01-02 11:00:00,4.7,309.0
2023-01-02 12:00:00,5.8,296.0
2023-01-02 13:00:00,5.0,228.0
2023-01-02 14:00:00,4.0,136.0
2023-01-02 15:00:00,3.8,93.0
2023-01-02 16:00:00,4.6,21.0
2023-01-02 17:00:00,4.2,0.0
2023-01-02 18:00:00,4.3,0.0
2023-01-02 19:00:00,4.4,0.0
2023-01-02 20:00:00,6.2,0.0
2023-01-02 21:00:00,5.0,0.0
2023-01-02 22:00:00,5.6,0.0
2023-01-02 23:00:00,4.4,0.0
2023-01-03 00:00:00,5.7,0.0
2023-01-03 01:00:00,5.1,0.0
2023-01-03 02:00:00,6.1,0.0
2023-01-03 03:00:00,7.9,0.0
2023-01-03 04:00:00,7.6,0.0
2023-01-03 05:00:00,7.3,0.0
2023-01-03 06:00:00,6.4,0.0
2023-01-03 07:00:00,7.4,2.0
2023-01-03 08:00:00,6.1,54.0
2023-01-03 09:00:00,4.2,126.0
2023-01-03 10:00:00,3.6,268.0
2023-01-03 11:00:00,2.2,321.0
2023-01-03 12:00:00,3.6,284.0
2023-01-03 13:00:00,3.3,254.0
2023-01-03 14:00:00,2.6,192.0
2023-01-03 15:00:00,3.3,88.0
2023-01-03 16:00:00,1.3,20.0
2023-01-03 17:00:00,4.0,0.0
2023-01-03 18:00:00,5.2,0.0
2023-01-03 19:00:00,4.8,0.0
2023-01-03 20:00:00,5.2,0.0
2023-01-03 21:00:00,4.7,0.0
2023-01-03 22:00:00,6.0,0.0
2023-01-03 23:00:00,6.1,0.0
2023-01-04 00:00:00,4.9,0.0
2023-01-04 01:00:00,4.2,0.0
2023-01-04 02:00:00,6.4,0.0
2023-01-04 03:00:00,3.8,0.0
2023-01-04 04:00:00,4.8,0.0
2023-01-04 05:00:00,6.7,0.0
2023-01-04 06:00:00,5.8,0.0
2023-01-04 07:00:00,4.4,3.0
2023-01-04 08:00:00,5.4,77.0
2023-01-04 09:00:00,6.2,202.0
2023-01-04 10:00:00,6.6,287.0
2023-01-04 11:00:00,4.9,370.0
2023-01-04 12:00:00,4.0,393.0
2023-01-04 13:00:00,4.0,344.0
2023-01-04 14:00:00,1.8,246.0
2023-01-04 15:00:00,0.7,129.0
2023-01-04 16:00:00,1.1,26.0
2023-01-04 17:00:00,2.5,0.0
2023-01-04 18:00:00,2.3,0.0
2023-01-04 19:00:00,6.0,0.0
2023-01-04 20:00:00,7.5,0.0
2023-01-04 21:00:00,8.1,0.0
2023-01-04 22:00:00,7.4,0.0
2023-01-04 23:00:00,7.7,0.0
2023-01-05 00:00:00,6.8,0.0
2023-01-05 01:00:00,4.2,0.0
2023-01-05 02:00:00,7.2,0.0
2023-01-05 03:00:00,5.4,0.0
2023-01-05 04:00:00,5.8,0.0
2023-01-05 05:00:00,6.7,0.0
2023-01-05 06:00:00,5.8,0.0
2023-01-05 07:00:00,6.2,2.0
2023-01-05 08:00:00,5.4,48.0
2023-01-05 09:00:00,4.3,143.0
2023-01-05 10:00:00,4.3,238.0
2023-01-05 11:00:00,4.1,306.0
2023-01-05 12:00:00,4.4,293.0
2023-01-05 13:00:00,4.8,273.0
2023-01-05 14:00:00,3.3,197.0
2023-01-05 15:00:00,1.9,98.0
