time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,13.2,0.0
2022-12-31 01:00:00,13.6,0.0
2022-12-31 02:00:00,15.2,0.0
2022-12-31 03:00:00,15.5,0.0
2022-12-31 04:00:00,17.7,0.0
2022-12-31 05:00:00,20.8,0.0
2022-12-31 06:00:00,23.9,0.0
2022-12-31 07:00:00,23.1,1.0
2022-12-31 08:00:00,23.3,27.0
2022-12-31 09:00:00,21.9,60.0
2022-12-31 10:00:00,21.4,26.0
2022-12-31 11:00:00,20.4,24.0
2022-12-31 12:00:00,18.7,45.0
2022-12-31 13:00:00,17.4,15.0
2022-12-31 14:00:00,16.1,4.0
2022-12-31 15:00:00,15.3,0.0
2022-12-31 16:00:00,16.9,0.0
2022-12-31 17:00:00,19.4,0.0
2022-12-31 18:00:00,20.3,0.0
2022-12-31 19:00:00,21.4,0.0
2022-12-31 20:00:00,20.2,0.0
2022-12-31 21:00:00,19.6,0.0
2022-12-31 22:00:00,24.2,0.0
2022-12-31 23:00:00,20.0,0.0
2023-01-01 00:00:00,15.1,0.0
2023-01-01 01:00:00,22.7,0.0
2023-01-01 02:00:00,19.7,0.0
2023-01-01 03:00:00,20.4,0.0
2023-01-01 04:00:00,25.6,0.0
2023-01-01 05:00:00,27.5,0.0
2023-01-01 06:00:00,28.5,0.0
2023-01-01 07:00:00,27.0,0.0
2023-01-01 08:00:00,25.3,13.0
2023-01-01 09:00:00,25.9,35.0
2023-01-01 10:00:00,26.4,64.0
2023-01-01 11:00:00,26.9,82.0
2023-01-01 12:00:00,28.1,22.0
2023-01-01 13:00:00,27.0,18.0
2023-01-01 14:00:00,25.2,10.0
2023-01-01 15:00:00,25.2,0.0
2023-01-01 16:00:00,27.4,0.0
2023-01-01 17:00:00,29.8,0.0
2023-01-01 18:00:00,29.9,0.0
2023-01-01 19:00:00,29.2,0.0
2023-01-01 20:00:00,30.0,0.0
2023-01-01 21:00:00,29.0,0.0
2023-01-01 22:00:00,25.3,0.0
2023-01-01 23:00:00,21.5,0.0
2023-01-02 00:00:00,19.5,0.0
2023-01-02 01:00:00,17.3,0.0
2023-01-02 02:00:00,15.5,0.0
2023-01-02 03:00:00,13.7,0.0
2023-01-02 04:00:00,11.6,0.0
2023-01-02 05:00:00,9.2,0.0
2023-01-02 06:00:00,9.4,0.0
2023-01-02 07:00:00,7.7,1.0
2023-01-02 08:00:00,6.5,13.0
2023-01-02 09:00:00,8.6,46.0
2023-01-02 10:00:00,11.3,52.0
2023-01-02 11:00:00,12.4,34.0
2023-01-02 12:00:00,11.4,14.0
2023-01-02 13:00:00,14.5,7.0
2023-01-02 14:00:00,19.5,2.0
2023-01-02 15:00:00,20.1,0.0
2023-01-02 16:00:00,19.5,0.0
2023-01-02 17:00:00,19.7,0.0
2023-01-02 18:00:00,22.0,0.0
2023-01-02 19:00:00,22.1,0.0
2023-01-02 20:00:00,20.4,0.0
2023-01-02 21:00:00,22.4,0.0
2023-01-02 22:00:00,21.3,0.0
2023-01-02 23:00:00,21.0,0.0
2023-01-03 00:00:00,22.6,0.0
2023-01-03 01:00:00,24.8,0.0
2023-01-03 02:00:00,25.5,0.0
2023-01-03 03:00:00,25.3,0.0
2023-01-03 04:00:00,26.6,0.0
2023-01-03 05:00:00,25.6,0.0
2023-01-03 06:00:00,23.9,0.0
2023-01-03 07:00:00,24.9,0.0
2023-01-03 08:00:00,20.7,22.0
2023-01-03 09:00:00,28.3,65.0
2023-01-03 10:00:00,28.8,60.0
2023-01-03 11:00:00,31.7,93.0
2023-01-03 12:00:00,30.2,51.0
2023-01-03 13:00:00,24.1,41.0
2023-01-03 14:00:00,25.6,15.0
2023-01-03 15:00:00,24.5,0.0
2023-01-03 16:00:00,23.1,0.0
2023-01-03 17:00:00,23.1,0.0
2023-01-03 18:00:00,20.9,0.0
2023-01-03 19:00:00,20.3,0.0
2023-01-03 20:00:00,20.5,0.0
2023-01-03 21:00:00,20.6,0.0
2023-01-03 22:00:00,19.6,0.0
2023-01-03 23:00:00,19.0,0.0
2023-01-04 00:00:00,17.1,0.0
2023-01-04 01:00:00,16.5,0.0
2023-01-04 02:00:00,19.2,0.0
2023-01-04 03:00:00,16.7,0.0
2023-01-04 04:00:00,15.9,0.0
2023-01-04 05:00:00,14.8,0.0
2023-01-04 06:00:00,12.9,0.0
2023-01-04 07:00:00,11.7,1.0
2023-01-04 08:00:00,11.4,29.0
2023-01-04 09:00:00,13.4,81.0
2023-01-04 10:00:00,13.8,136.0
2023-01-04 11:00:00,13.0,121.0
2023-01-04 12:00:00,12.2,98.0
2023-01-04 13:00:00,11.4,53.0
2023-01-04 14:00:00,10.5,13.0
2023-01-04 15:00:00,13.0,0.0
2023-01-04 16:00:00,15.6,0.0
2023-01-04 17:00:00,18.1,0.0
2023-01-04 18:00:00,19.0,0.0
2023-01-04 19:00:00,20.5,0.0
2023-01-04 20:00:00,22.0,0.0
2023-01-04 21:00:00,22.3,0.0
2023-01-04 22:00:00,20.4,0.0
2023-01-04 23:00:00,19.2,0.0
2023-01-05 00:00:00,17.0,0.0
2023-01-05 01:00:00,14.1,0.0
2023-01-05 02:00:00,10.6,0.0
2023-01-05 03:00:00,8.1,0.0
2023-01-05 04:00:00,9.3,0.0
2023-01-05 05:00:00,9.4,0.0
2023-01-05 06:00:00,13.1,0.0
2023-01-05 07:00:00,12.4,0.0
2023-01-05 08:00:00,10.3,5.0
2023-01-05 09:00:00,8.1,18.0
2023-01-05 10:00:00,10.0,28.0
2023-01-05 11:00:00,17.3,22.0
2023-01-05 12:00:00,16.4,20.0
2023-01-05 13:00:00,17.1,12.0
2023-01-05 14:00:00,20.8,6.0
2023-01-05 15:00:00,19.2,0.0
