time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,14.3,0.0
2022-12-31 01:00:00,15.9,0.0
2022-12-31 02:00:00,17.3,0.0
2022-12-31 03:00:00,20.6,0.0
2022-12-31 04:00:00,22.8,0.0
2022-12-31 05:00:00,25.8,0.0
2022-12-31 06:00:00,26.3,0.0
2022-12-31 07:00:00,27.0,0.0
2022-12-31 08:00:00,25.6,2.0
2022-12-31 09:00:00,25.3,8.0
2022-12-31 10:00:00,23.9,15.0
2022-12-31 11:00:00,23.2,59.0
2022-12-31 12:00:00,19.6,35.0
2022-12-31 13:00:00,18.3,18.0
2022-12-31 14:00:00,18.1,3.0
2022-12-31 15:00:00,17.7,0.0
2022-12-31 16:00:00,19.2,0.0
2022-12-31 17:00:00,20.5,0.0
2022-12-31 18:00:00,19.7,0.0
2022-12-31 19:00:00,19.5,0.0
2022-12-31 20:00:00,18.2,0.0
2022-12-31 21:00:00,18.2,0.0
2022-12-31 22:00:00,17.4,0.0
2022-12-31 23:00:00,13.8,0.0
2023-01-01 00:00:00,10.9,0.0
2023-01-01 01:00:00,12.4,0.0
2023-01-01 02:00:00,14.7,0.0
2023-01-01 03:00:00,14.0,0.0
2023-01-01 04:00:00,12.6,0.0
2023-01-01 05:00:00,10.7,0.0
2023-01-01 06:00:00,9.8,0.0
2023-01-01 07:00:00,9.9,0.0
2023-01-01 08:00:00,7.2,2.0
2023-01-01 09:00:00,10.2,8.0
2023-01-01 10:00:00,8.0,10.0
2023-01-01 11:00:00,9.4,15.0
2023-01-01 12:00:00,6.7,14.0
2023-01-01 13:00:00,6.4,10.0
2023-01-01 14:00:00,6.3,3.0
2023-01-01 15:00:00,6.2,0.0
2023-01-01 16:00:00,7.4,0.0
2023-01-01 17:00:00,6.4,0.0
2023-01-01 18:00:00,11.6,0.0
2023-01-01 19:00:00,7.9,0.0
2023-01-01 20:00:00,9.9,0.0
2023-01-01 21:00:00,9.1,0.0
2023-01-01 22:00:00,10.2,0.0
2023-01-01 23:00:00,10.2,0.0
2023-01-02 00:00:00,6.4,0.0
2023-01-02 01:00:00,5.2,0.0
2023-01-02 02:00:00,5.9,0.0
2023-01-02 03:00:00,4.7,0.0
2023-01-02 04:00:00,1.1,0.0
2023-01-02 05:00:00,4.3,0.0
2023-01-02 06:00:00,8.2,0.0
2023-01-02 07:00:00,12.1,0.0
