time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,25.6,0.0
2022-12-31 01:00:00,22.5,0.0
2022-12-31 02:00:00,19.9,0.0
2022-12-31 03:00:00,22.1,0.0
2022-12-31 04:00:00,19.1,0.0
2022-12-31 05:00:00,17.8,0.0
2022-12-31 06:00:00,30.3,0.0
2022-12-31 07:00:00,36.4,0.0
2022-12-31 08:00:00,36.8,0.0
2022-12-31 09:00:00,35.4,3.0
2022-12-31 10:00:00,38.5,22.0
2022-12-31 11:00:00,39.3,36.0
2022-12-31 12:00:00,35.8,79.0
2022-12-31 13:00:00,29.2,33.0
2022-12-31 14:00:00,37.6,15.0
2022-12-31 15:00:00,35.4,6.0
2022-12-31 16:00:00,34.2,1.0
2022-12-31 17:00:00,31.7,0.0
2022-12-31 18:00:00,32.9,0.0
2022-12-31 19:00:00,35.7,0.0
2022-12-31 20:00:00,36.2,0.0
2022-12-31 21:00:00,38.4,0.0
2022-12-31 22:00:00,42.7,0.0
2022-12-31 23:00:00,39.6,0.0
2023-01-01 00:00:00,40.3,0.0
2023-01-01 01:00:00,36.9,0.0
2023-01-01 02:00:00,31.9,0.0
2023-01-01 03:00:00,37.4,0.0
2023-01-01 04:00:00,36.7,0.0
2023-01-01 05:00:00,34.4,0.0
2023-01-01 06:00:00,32.0,0.0
2023-01-01 07:00:00,30.7,0.0
2023-01-01 08:00:00,30.9,0.0
2023-01-01 09:00:00,30.1,15.0
2023-01-01 10:00:00,30.3,54.0
2023-01-01 11:00:00,28.8,116.0
2023-01-01 12:00:00,27.5,167.0
2023-01-01 13:00:00,26.0,141.0
2023-01-01 14:00:00,21.7,87.0
2023-01-01 15:00:00,17.8,41.0
2023-01-01 16:00:00,17.1,3.0
2023-01-01 17:00:00,18.6,0.0
2023-01-01 18:00:00,16.3,0.0
2023-01-01 19:00:00,16.6,0.0
2023-01-01 20:00:00,16.9,0.0
2023-01-01 21:00:00,14.4,0.0
2023-01-01 22:00:00,11.9,0.0
2023-01-01 23:00:00,12.6,0.0
2023-01-02 00:00:00,14.8,0.0
2023-01-02 01:00:00,15.3,0.0
2023-01-02 02:00:00,13.4,0.0
2023-01-02 03:00:00,19.6,0.0
2023-01-02 04:00:00,19.4,0.0
2023-01-02 05:00:00,23.2,0.0
2023-01-02 06:00:00,16.1,0.0
2023-01-02 07:00:00,14.1,0.0
2023-01-02 08:00:00,16.1,0.0
2023-01-02 09:00:00,17.1,21.0
2023-01-02 10:00:00,17.5,56.0
2023-01-02 11:00:00,17.4,111.0
2023-01-02 12:00:00,19.2,159.0
2023-01-02 13:00:00,17.7,133.0
2023-01-02 14:00:00,18.7,75.0
2023-01-02 15:00:00,17.0,50.0
2023-01-02 16:00:00,12.7,7.0
2023-01-02 17:00:00,11.5,0.0
2023-01-02 18:00:00,10.8,0.0
2023-01-02 19:00:00,8.8,0.0
2023-01-02 20:00:00,8.6,0.0
2023-01-02 21:00:00,8.1,0.0
2023-01-02 22:00:00,7.6,0.0
2023-01-02 23:00:00,7.9,0.0
2023-01-03 00:00:00,9.4,0.0
2023-01-03 01:00:00,7.7,0.0
2023-01-03 02:00:00,7.0,0.0
2023-01-03 03:00:00,7.8,0.0
2023-01-03 04:00:00,10.2,0.0
2023-01-03 05:00:00,11.2,0.0
2023-01-03 06:00:00,11.2,0.0
2023-01-03 07:00:00,12.9,0.0
2023-01-03 08:00:00,12.0,0.0
2023-01-03 09:00:00,16.9,12.0
2023-01-03 10:00:00,16.9,39.0
2023-01-03 11:00:00,18.2,67.0
2023-01-03 12:00:00,19.4,66.0
2023-01-03 13:00:00,20.2,72.0
2023-01-03 14:00:00,20.6,74.0
2023-01-03 15:00:00,21.6,46.0
2023-01-03 16:00:00,22.3,6.0
2023-01-03 17:00:00,24.6,0.0
2023-01-03 18:00:00,25.6,0.0
2023-01-03 19:00:00,27.4,0.0
2023-01-03 20:00:00,28.6,0.0
2023-01-03 21:00:00,29.7,0.0
2023-01-03 22:00:00,32.2,0.0
2023-01-03 23:00:00,34.5,0.0
2023-01-04 00:00:00,34.6,0.0
2023-01-04 01:00:00,35.1,0.0
2023-01-04 02:00:00,37.3,0.0
2023-01-04 03:00:00,38.2,0.0
2023-01-04 04:00:00,39.2,0.0
2023-01-04 05:00:00,38.7,0.0
2023-01-04 06:00:00,37.4,0.0
2023-01-04 07:00:00,37.5,0.0
2023-01-04 08:00:00,39.4,0.0
2023-01-04 09:00:00,38.0,5.0
2023-01-04 10:00:00,37.4,16.0
2023-01-04 11:00:00,38.3,70.0
2023-01-04 12:00:00,35.4,154.0
2023-01-04 13:00:00,36.4,71.0
2023-01-04 14:00:00,34.9,75.0
2023-01-04 15:00:00,34.8,53.0
2023-01-04 16:00:00,35.7,7.0
2023-01-04 17:00:00,34.9,0.0
2023-01-04 18:00:00,35.9,0.0
2023-01-04 19:00:00,33.0,0.0
2023-01-04 20:00:00,33.7,0.0
2023-01-04 21:00:00,31.6,0.0
2023-01-04 22:00:00,30.6,0.0
2023-01-04 23:00:00,29.7,0.0
2023-01-05 00:00:00,27.1,0.0
2023-01-05 01:00:00,27.6,0.0
2023-01-05 02:00:00,28.3,0.0
2023-01-05 03:00:00,26.8,0.0
2023-01-05 04:00:00,26.3,0.0
2023-01-05 05:00:00,25.2,0.0
2023-01-05 06:00:00,23.4,0.0
2023-01-05 07:00:00,22.4,0.0
2023-01-05 08:00:00,20.2,0.0
2023-01-05 09:00:00,18.4,21.0
2023-01-05 10:00:00,17.7,50.0
2023-01-05 11:00:00,18.7,137.0
2023-01-05 12:00:00,16.5,167.0
2023-01-05 13:00:00,15.6,155.0
2023-01-05 14:00:00,15.2,144.0
2023-01-05 15:00:00,15.0,32.0
2023-01-05 16:00:00,14.8,2.0
2023-01-05 17:00:00,16.7,0.0
2023-01-05 18:00:00,16.4,0.0
2023-01-05 19:00:00,19.9,0.0
2023-01-05 20:00:00,22.9,0.0
2023-01-05 21:00:00,23.7,0.0
2023-01-05 22:00:00,24.4,0.0
2023-01-05 23:00:00,25.5,0.0
2023-01-06 00:00:00,25.7,0.0
2023-01-06 01:00:00,25.8,0.0
2023-01-06 02:00:00,25.3,0.0
2023-01-06 03:00:00,26.7,0.0
2023-01-06 04:00:00,28.7,0.0
2023-01-06 05:00:00,31.5,0.0
2023-01-06 06:00:00,31.1,0.0
2023-01-06 07:00:00,30.9,0.0
2023-01-06 08:00:00,22.9,0.0
2023-01-06 09:00:00,20.2,41.0
2023-01-06 10:00:00,20.1,127.0
2023-01-06 11:00:00,20.7,197.0
2023-01-06 12:00:00,19.9,195.0
2023-01-06 13:00:00,18.4,145.0
2023-01-06 14:00:00,20.7,82.0
2023-01-06 15:00:00,19.6,52.0
2023-01-06 16:00:00,17.1,8.0
2023-01-06 17:00:00,16.3,0.0
2023-01-06 18:00:00,15.6,0.0
2023-01-06 19:00:00,18.0,0.0
2023-01-06 20:00:00,19.2,0.0
2023-01-06 21:00:00,19.7,0.0
2023-01-06 22:00:00,20.0,0.0
2023-01-06 23:00:00,20.6,0.0
2023-01-07 00:00:00,23.0,0.0
