time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,19.6,0.0
2022-12-31 01:00:00,20.4,0.0
2022-12-31 02:00:00,22.3,0.0
2022-12-31 03:00:00,23.6,0.0
2022-12-31 04:00:00,22.5,0.0
2022-12-31 05:00:00,21.9,0.0
2022-12-31 06:00:00,20.5,0.0
2022-12-31 07:00:00,19.5,0.0
2022-12-31 08:00:00,19.1,26.0
2022-12-31 09:00:00,19.9,114.0
2022-12-31 10:00:00,16.3,170.0
2022-12-31 11:00:00,16.7,208.0
2022-12-31 12:00:00,21.9,181.0
2022-12-31 13:00:00,23.6,49.0
2022-12-31 14:00:00,22.9,46.0
2022-12-31 15:00:00,23.9,3.0
2022-12-31 16:00:00,24.4,0.0
2022-12-31 17:00:00,24.5,0.0
2022-12-31 18:00:00,24.7,0.0
2022-12-31 19:00:00,25.2,0.0
2022-12-31 20:00:00,24.8,0.0
2022-12-31 21:00:00,23.8,0.0
2022-12-31 22:00:00,22.5,0.0
2022-12-31 23:00:00,22.9,0.0
2023-01-01 00:00:00,23.9,0.0
2023-01-01 01:00:00,23.0,0.0
2023-01-01 02:00:00,24.5,0.0
2023-01-01 03:00:00,26.1,0.0
2023-01-01 04:00:00,26.5,0.0
2023-01-01 05:00:00,24.5,0.0
2023-01-01 06:00:00,24.8,0.0
2023-01-01 07:00:00,24.2,0.0
2023-01-01 08:00:00,24.0,41.0
2023-01-01 09:00:00,23.7,123.0
2023-01-01 10:00:00,23.8,187.0
2023-01-01 11:00:00,22.8,212.0
2023-01-01 12:00:00,23.5,198.0
2023-01-01 13:00:00,23.2,129.0
2023-01-01 14:00:00,22.3,64.0
2023-01-01 15:00:00,22.2,5.0
2023-01-01 16:00:00,21.5,0.0
2023-01-01 17:00:00,19.8,0.0
2023-01-01 18:00:00,18.5,0.0
2023-01-01 19:00:00,17.1,0.0
2023-01-01 20:00:00,15.9,0.0
2023-01-01 21:00:00,15.0,0.0
2023-01-01 22:00:00,13.7,0.0
2023-01-01 23:00:00,13.3,0.0
2023-01-02 00:00:00,12.2,0.0
2023-01-02 01:00:00,10.7,0.0
2023-01-02 02:00:00,8.8,0.0
2023-01-02 03:00:00,8.0,0.0
2023-01-02 04:00:00,7.7,0.0
2023-01-02 05:00:00,10.2,0.0
2023-01-02 06:00:00,11.2,0.0
2023-01-02 07:00:00,15.3,0.0
2023-01-02 08:00:00,16.9,41.0
2023-01-02 09:00:00,16.3,103.0
2023-01-02 10:00:00,12.2,154.0
2023-01-02 11:00:00,12.4,161.0
2023-01-02 12:00:00,18.7,144.0
2023-01-02 13:00:00,14.4,90.0
2023-01-02 14:00:00,13.4,62.0
2023-01-02 15:00:00,13.1,5.0
2023-01-02 16:00:00,13.7,0.0
2023-01-02 17:00:00,16.4,0.0
2023-01-02 18:00:00,15.9,0.0
2023-01-02 19:00:00,15.1,0.0
2023-01-02 20:00:00,13.8,0.0
2023-01-02 21:00:00,16.4,0.0
2023-01-02 22:00:00,16.9,0.0
2023-01-02 23:00:00,18.3,0.0
2023-01-03 00:00:00,19.7,0.0
2023-01-03 01:00:00,20.1,0.0
2023-01-03 02:00:00,20.2,0.0
2023-01-03 03:00:00,19.7,0.0
2023-01-03 04:00:00,16.8,0.0
2023-01-03 05:00:00,17.1,0.0
2023-01-03 06:00:00,16.9,0.0
2023-01-03 07:00:00,17.6,0.0
2023-01-03 08:00:00,18.8,33.0
2023-01-03 09:00:00,21.5,82.0
2023-01-03 10:00:00,23.3,119.0
2023-01-03 11:00:00,23.7,199.0
2023-01-03 12:00:00,22.1,190.0
2023-01-03 13:00:00,22.1,143.0
2023-01-03 14:00:00,20.2,56.0
2023-01-03 15:00:00,18.3,5.0
2023-01-03 16:00:00,17.2,0.0
2023-01-03 17:00:00,16.9,0.0
2023-01-03 18:00:00,15.8,0.0
2023-01-03 19:00:00,16.6,0.0
2023-01-03 20:00:00,16.2,0.0
2023-01-03 21:00:00,15.8,0.0
2023-01-03 22:00:00,15.5,0.0
2023-01-03 23:00:00,14.8,0.0
2023-01-04 00:00:00,13.7,0.0
2023-01-04 01:00:00,12.6,0.0
2023-01-04 02:00:00,11.2,0.0
2023-01-04 03:00:00,9.8,0.0
2023-01-04 04:00:00,7.9,0.0
2023-01-04 05:00:00,8.5,0.0
2023-01-04 06:00:00,7.4,0.0
2023-01-04 07:00:00,7.9,1.0
2023-01-04 08:00:00,11.2,39.0
2023-01-04 09:00:00,11.5,121.0
2023-01-04 10:00:00,11.9,176.0
2023-01-04 11:00:00,13.6,190.0
2023-01-04 12:00:00,15.0,166.0
2023-01-04 13:00:00,18.4,83.0
2023-01-04 14:00:00,19.8,43.0
