time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,19.2,0.0
2022-12-31 01:00:00,18.4,0.0
2022-12-31 02:00:00,18.7,0.0
2022-12-31 03:00:00,18.0,0.0
2022-12-31 04:00:00,17.8,0.0
2022-12-31 05:00:00,18.3,0.0
2022-12-31 06:00:00,15.6,0.0
2022-12-31 07:00:00,17.5,0.0
2022-12-31 08:00:00,17.9,0.0
2022-12-31 09:00:00,21.8,55.0
2022-12-31 10:00:00,22.8,195.0
2022-12-31 11:00:00,23.1,315.0
2022-12-31 12:00:00,20.6,404.0
2022-12-31 13:00:00,23.8,348.0
2022-12-31 14:00:00,23.9,199.0
2022-12-31 15:00:00,21.6,171.0
2022-12-31 16:00:00,23.1,159.0
2022-12-31 17:00:00,22.3,86.0
2022-12-31 18:00:00,21.7,4.0
2022-12-31 19:00:00,21.7,0.0
2022-12-31 20:00:00,23.1,0.0
2022-12-31 21:00:00,24.0,0.0
2022-12-31 22:00:00,21.7,0.0
2022-12-31 23:00:00,22.5,0.0
2023-01-01 00:00:00,20.6,0.0
2023-01-01 01:00:00,21.0,0.0
2023-01-01 02:00:00,20.5,0.0
2023-01-01 03:00:00,23.1,0.0
2023-01-01 04:00:00,25.9,0.0
2023-01-01 05:00:00,27.7,0.0
2023-01-01 06:00:00,27.7,0.0
2023-01-01 07:00:00,26.6,0.0
2023-01-01 08:00:00,26.1,0.0
2023-01-01 09:00:00,26.2,43.0
2023-01-01 10:00:00,29.5,156.0
2023-01-01 11:00:00,31.8,178.0
2023-01-01 12:00:00,26.6,78.0
2023-01-01 13:00:00,29.5,270.0
2023-01-01 14:00:00,32.3,165.0
2023-01-01 15:00:00,33.9,139.0
2023-01-01 16:00:00,26.6,43.0
2023-01-01 17:00:00,23.5,12.0
2023-01-01 18:00:00,16.6,0.0
2023-01-01 19:00:00,13.4,0.0
2023-01-01 20:00:00,9.8,0.0
2023-01-01 21:00:00,8.1,0.0
2023-01-01 22:00:00,8.7,0.0
2023-01-01 23:00:00,6.9,0.0
2023-01-02 00:00:00,8.7,0.0
2023-01-02 01:00:00,6.7,0.0
2023-01-02 02:00:00,6.3,0.0
2023-01-02 03:00:00,5.7,0.0
2023-01-02 04:00:00,8.1,0.0
2023-01-02 05:00:00,8.6,0.0
2023-01-02 06:00:00,8.0,0.0
2023-01-02 07:00:00,8.5,0.0
2023-01-02 08:00:00,7.6,0.0
2023-01-02 09:00:00,5.4,36.0
2023-01-02 10:00:00,5.6,129.0
2023-01-02 11:00:00,4.6,276.0
2023-01-02 12:00:00,8.2,383.0
2023-01-02 13:00:00,8.3,418.0
2023-01-02 14:00:00,9.8,398.0
2023-01-02 15:00:00,11.0,344.0
2023-01-02 16:00:00,10.4,222.0
2023-01-02 17:00:00,7.3,102.0
2023-01-02 18:00:00,8.6,6.0
2023-01-02 19:00:00,9.7,0.0
2023-01-02 20:00:00,9.8,0.0
2023-01-02 21:00:00,9.8,0.0
2023-01-02 22:00:00,8.4,0.0
2023-01-02 23:00:00,7.2,0.0
2023-01-03 00:00:00,6.9,0.0
2023-01-03 01:00:00,6.1,0.0
2023-01-03 02:00:00,6.5,0.0
2023-01-03 03:00:00,7.2,0.0
2023-01-03 04:00:00,7.2,0.0
2023-01-03 05:00:00,7.4,0.0
2023-01-03 06:00:00,7.9,0.0
2023-01-03 07:00:00,7.9,0.0
2023-01-03 08:00:00,7.9,0.0
2023-01-03 09:00:00,7.0,58.0
2023-01-03 10:00:00,7.8,206.0
2023-01-03 11:00:00,8.0,343.0
2023-01-03 12:00:00,7.8,439.0
2023-01-03 13:00:00,7.9,477.0
2023-01-03 14:00:00,9.5,454.0
2023-01-03 15:00:00,12.5,379.0
2023-01-03 16:00:00,13.6,259.0
2023-01-03 17:00:00,11.3,110.0
2023-01-03 18:00:00,10.2,6.0
2023-01-03 19:00:00,11.5,0.0
2023-01-03 20:00:00,10.8,0.0
2023-01-03 21:00:00,9.3,0.0
2023-01-03 22:00:00,8.8,0.0
2023-01-03 23:00:00,8.4,0.0
2023-01-04 00:00:00,11.1,0.0
2023-01-04 01:00:00,9.9,0.0
2023-01-04 02:00:00,10.9,0.0
2023-01-04 03:00:00,11.8,0.0
2023-01-04 04:00:00,12.3,0.0
2023-01-04 05:00:00,12.8,0.0
2023-01-04 06:00:00,13.0,0.0
2023-01-04 07:00:00,13.2,0.0
2023-01-04 08:00:00,13.2,0.0
2023-01-04 09:00:00,14.3,59.0
2023-01-04 10:00:00,14.6,208.0
2023-01-04 11:00:00,14.3,346.0
2023-01-04 12:00:00,15.5,442.0
2023-01-04 13:00:00,14.5,483.0
2023-01-04 14:00:00,14.0,464.0
2023-01-04 15:00:00,13.2,389.0
2023-01-04 16:00:00,12.3,265.0
2023-01-04 17:00:00,10.2,113.0
2023-01-04 18:00:00,10.5,7.0
2023-01-04 19:00:00,12.0,0.0
2023-01-04 20:00:00,11.8,0.0
2023-01-04 21:00:00,11.5,0.0
2023-01-04 22:00:00,10.7,0.0
2023-01-04 23:00:00,10.2,0.0
2023-01-05 00:00:00,12.8,0.0
2023-01-05 01:00:00,11.5,0.0
2023-01-05 02:00:00,11.7,0.0
2023-01-05 03:00:00,11.5,0.0
2023-01-05 04:00:00,11.2,0.0
2023-01-05 05:00:00,11.2,0.0
2023-01-05 06:00:00,11.5,0.0
2023-01-05 07:00:00,11.5,0.0
2023-01-05 08:00:00,11.2,0.0
2023-01-05 09:00:00,12.2,55.0
2023-01-05 10:00:00,11.2,197.0
2023-01-05 11:00:00,10.7,337.0
2023-01-05 12:00:00,9.2,436.0
2023-01-05 13:00:00,7.9,477.0
2023-01-05 14:00:00,7.5,460.0
2023-01-05 15:00:00,6.5,386.0
2023-01-05 16:00:00,4.9,262.0
2023-01-05 17:00:00,4.2,114.0
2023-01-05 18:00:00,1.8,7.0
2023-01-05 19:00:00,7.7,0.0
2023-01-05 20:00:00,7.0,0.0
