time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,39.6,0.0
2022-12-31 01:00:00,38.2,0.0
2022-12-31 02:00:00,32.6,0.0
2022-12-31 03:00:00,29.3,0.0
2022-12-31 04:00:00,28.4,0.0
2022-12-31 05:00:00,27.7,0.0
2022-12-31 06:00:00,25.3,0.0
2022-12-31 07:00:00,25.3,0.0
2022-12-31 08:00:00,23.6,1.0
2022-12-31 09:00:00,24.0,12.0
2022-12-31 10:00:00,25.3,34.0
2022-12-31 11:00:00,24.0,36.0
2022-12-31 12:00:00,22.1,25.0
2022-12-31 13:00:00,22.2,34.0
2022-12-31 14:00:00,25.0,7.0
2022-12-31 15:00:00,20.7,1.0
2022-12-31 16:00:00,23.4,0.0
2022-12-31 17:00:00,32.9,0.0
2022-12-31 18:00:00,30.3,0.0
2022-12-31 19:00:00,27.2,0.0
2022-12-31 20:00:00,25.8,0.0
2022-12-31 21:00:00,22.3,0.0
2022-12-31 22:00:00,21.7,0.0
2022-12-31 23:00:00,17.1,0.0
2023-01-01 00:00:00,23.1,0.0
2023-01-01 01:00:00,26.7,0.0
2023-01-01 02:00:00,28.0,0.0
2023-01-01 03:00:00,40.5,0.0
2023-01-01 04:00:00,41.2,0.0
2023-01-01 05:00:00,43.5,0.0
2023-01-01 06:00:00,43.0,0.0
2023-01-01 07:00:00,42.0,0.0
2023-01-01 08:00:00,37.9,0.0
2023-01-01 09:00:00,37.4,7.0
2023-01-01 10:00:00,37.8,31.0
2023-01-01 11:00:00,40.4,54.0
2023-01-01 12:00:00,40.3,70.0
2023-01-01 13:00:00,37.4,120.0
2023-01-01 14:00:00,33.8,61.0
2023-01-01 15:00:00,32.7,10.0
2023-01-01 16:00:00,32.8,0.0
2023-01-01 17:00:00,29.6,0.0
2023-01-01 18:00:00,27.3,0.0
2023-01-01 19:00:00,25.1,0.0
2023-01-01 20:00:00,25.7,0.0
2023-01-01 21:00:00,23.4,0.0
2023-01-01 22:00:00,20.9,0.0
2023-01-01 23:00:00,16.8,0.0
2023-01-02 00:00:00,14.0,0.0
2023-01-02 01:00:00,14.8,0.0
2023-01-02 02:00:00,17.5,0.0
2023-01-02 03:00:00,18.7,0.0
2023-01-02 04:00:00,16.3,0.0
2023-01-02 05:00:00,14.9,0.0
2023-01-02 06:00:00,17.4,0.0
2023-01-02 07:00:00,16.9,0.0
2023-01-02 08:00:00,17.1,0.0
2023-01-02 09:00:00,18.8,5.0
2023-01-02 10:00:00,23.9,23.0
2023-01-02 11:00:00,22.6,24.0
2023-01-02 12:00:00,20.8,25.0
2023-01-02 13:00:00,20.0,15.0
2023-01-02 14:00:00,24.8,9.0
2023-01-02 15:00:00,25.7,4.0
2023-01-02 16:00:00,26.9,0.0
2023-01-02 17:00:00,23.4,0.0
2023-01-02 18:00:00,21.2,0.0
2023-01-02 19:00:00,20.9,0.0
2023-01-02 20:00:00,23.3,0.0
2023-01-02 21:00:00,30.8,0.0
2023-01-02 22:00:00,30.4,0.0
2023-01-02 23:00:00,29.9,0.0
2023-01-03 00:00:00,31.4,0.0
2023-01-03 01:00:00,32.0,0.0
2023-01-03 02:00:00,32.0,0.0
2023-01-03 03:00:00,31.5,0.0
2023-01-03 04:00:00,31.0,0.0
2023-01-03 05:00:00,31.7,0.0
2023-01-03 06:00:00,30.6,0.0
2023-01-03 07:00:00,29.6,0.0
2023-01-03 08:00:00,26.1,1.0
2023-01-03 09:00:00,23.5,37.0
2023-01-03 10:00:00,23.0,93.0
2023-01-03 11:00:00,25.3,135.0
2023-01-03 12:00:00,24.5,150.0
2023-01-03 13:00:00,22.1,123.0
2023-01-03 14:00:00,19.9,68.0
2023-01-03 15:00:00,18.4,12.0
2023-01-03 16:00:00,16.7,0.0
2023-01-03 17:00:00,15.0,0.0
2023-01-03 18:00:00,13.7,0.0
2023-01-03 19:00:00,14.5,0.0
2023-01-03 20:00:00,15.6,0.0
2023-01-03 21:00:00,14.3,0.0
2023-01-03 22:00:00,15.2,0.0
