time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,7.6,0.0
2022-12-31 01:00:00,6.3,0.0
2022-12-31 02:00:00,4.8,0.0
2022-12-31 03:00:00,5.9,0.0
2022-12-31 04:00:00,8.0,0.0
2022-12-31 05:00:00,8.0,0.0
2022-12-31 06:00:00,6.4,0.0
2022-12-31 07:00:00,6.6,1.0
2022-12-31 08:00:00,5.5,39.0
2022-12-31 09:00:00,10.6,111.0
2022-12-31 10:00:00,12.7,155.0
2022-12-31 11:00:00,12.1,115.0
2022-12-31 12:00:00,15.3,168.0
2022-12-31 13:00:00,16.3,244.0
2022-12-31 14:00:00,12.6,166.0
2022-12-31 15:00:00,8.6,75.0
2022-12-31 16:00:00,9.3,4.0
2022-12-31 17:00:00,9.4,0.0
2022-12-31 18:00:00,8.3,0.0
2022-12-31 19:00:00,6.5,0.0
2022-12-31 20:00:00,5.6,0.0
2022-12-31 21:00:00,5.6,0.0
2022-12-31 22:00:00,6.9,0.0
2022-12-31 23:00:00,6.9,0.0
2023-01-01 00:00:00,10.1,0.0
2023-01-01 01:00:00,6.6,0.0
2023-01-01 02:00:00,6.2,0.0
2023-01-01 03:00:00,7.4,0.0
2023-01-01 04:00:00,7.0,0.0
2023-01-01 05:00:00,8.4,0.0
2023-01-01 06:00:00,8.8,0.0
2023-01-01 07:00:00,8.7,0.0
2023-01-01 08:00:00,8.7,15.0
2023-01-01 09:00:00,11.4,52.0
2023-01-01 10:00:00,12.1,76.0
2023-01-01 11:00:00,11.8,91.0
2023-01-01 12:00:00,18.2,84.0
2023-01-01 13:00:00,16.4,191.0
2023-01-01 14:00:00,11.1,112.0
2023-01-01 15:00:00,7.8,51.0
2023-01-01 16:00:00,6.7,3.0
2023-01-01 17:00:00,7.0,0.0
2023-01-01 18:00:00,6.7,0.0
2023-01-01 19:00:00,7.1,0.0
2023-01-01 20:00:00,7.4,0.0
2023-01-01 21:00:00,7.6,0.0
2023-01-01 22:00:00,8.7,0.0
2023-01-01 23:00:00,9.4,0.0
2023-01-02 00:00:00,10.3,0.0
2023-01-02 01:00:00,8.6,0.0
2023-01-02 02:00:00,8.5,0.0
2023-01-02 03:00:00,10.6,0.0
2023-01-02 04:00:00,10.6,0.0
2023-01-02 05:00:00,10.5,0.0
2023-01-02 06:00:00,10.3,0.0
2023-01-02 07:00:00,10.5,0.0
2023-01-02 08:00:00,12.5,16.0
2023-01-02 09:00:00,13.6,47.0
2023-01-02 10:00:00,12.6,59.0
2023-01-02 11:00:00,13.1,72.0
2023-01-02 12:00:00,18.1,64.0
2023-01-02 13:00:00,17.4,132.0
2023-01-02 14:00:00,15.3,84.0
2023-01-02 15:00:00,13.9,29.0
2023-01-02 16:00:00,11.9,2.0
2023-01-02 17:00:00,9.8,0.0
2023-01-02 18:00:00,8.6,0.0
2023-01-02 19:00:00,8.6,0.0
2023-01-02 20:00:00,9.2,0.0
2023-01-02 21:00:00,9.0,0.0
2023-01-02 22:00:00,8.9,0.0
2023-01-02 23:00:00,8.6,0.0
2023-01-03 00:00:00,8.3,0.0
2023-01-03 01:00:00,6.5,0.0
2023-01-03 02:00:00,3.9,0.0
2023-01-03 03:00:00,5.1,0.0
2023-01-03 04:00:00,4.0,0.0
2023-01-03 05:00:00,4.0,0.0
2023-01-03 06:00:00,3.3,0.0
2023-01-03 07:00:00,1.8,1.0
2023-01-03 08:00:00,1.9,27.0
2023-01-03 09:00:00,2.6,44.0
2023-01-03 10:00:00,2.0,55.0
2023-01-03 11:00:00,1.8,57.0
2023-01-03 12:00:00,4.5,50.0
2023-01-03 13:00:00,3.4,54.0
2023-01-03 14:00:00,2.6,39.0
2023-01-03 15:00:00,1.9,29.0
2023-01-03 16:00:00,4.4,3.0
2023-01-03 17:00:00,0.5,0.0
2023-01-03 18:00:00,0.8,0.0
2023-01-03 19:00:00,3.3,0.0
2023-01-03 20:00:00,4.0,0.0
2023-01-03 21:00:00,1.9,0.0
2023-01-03 22:00:00,1.3,0.0
2023-01-03 23:00:00,1.6,0.0
