time,windspeed_10m,shortwave_radiation
2022-12-31 00:00:00,10.1,0.0
2022-12-31 01:00:00,11.8,0.0
2022-12-31 02:00:00,12.3,0.0
2022-12-31 03:00:00,10.5,0.0
2022-12-31 04:00:00,6.5,0.0
2022-12-31 05:00:00,7.6,0.0
2022-12-31 06:00:00,9.0,0.0
2022-12-31 07:00:00,12.4,0.0
2022-12-31 08:00:00,12.6,10.0
2022-12-31 09:00:00,11.3,11.0
2022-12-31 10:00:00,8.4,165.0
2022-12-31 11:00:00,7.5,270.0
2022-12-31 12:00:00,9.5,254.0
2022-12-31 13:00:00,11.6,120.0
2022-12-31 14:00:00,10.6,124.0
2022-12-31 15:00:00,10.9,28.0
2022-12-31 16:00:00,7.9,0.0
2022-12-31 17:00:00,7.0,0.0
2022-12-31 18:00:00,7.9,0.0
2022-12-31 19:00:00,8.9,0.0
2022-12-31 20:00:00,11.5,0.0
2022-12-31 21:00:00,8.9,0.0
2022-12-31 22:00:00,10.9,0.0
2022-12-31 23:00:00,9.7,0.0
2023-01-01 00:00:00,16.0,0.0
2023-01-01 01:00:00,17.3,0.0
2023-01-01 02:00:00,17.6,0.0
2023-01-01 03:00:00,16.6,0.0
2023-01-01 04:00:00,14.8,0.0
2023-01-01 05:00:00,11.6,0.0
2023-01-01 06:00:00,9.1,0.0
2023-01-01 07:00:00,11.2,1.0
2023-01-01 08:00:00,11.2,43.0
2023-01-01 09:00:00,10.5,145.0
2023-01-01 10:00:00,15.9,237.0
2023-01-01 11:00:00,13.4,265.0
2023-01-01 12:00:00,10.8,225.0
2023-01-01 13:00:00,10.4,223.0
2023-01-01 14:00:00,10.1,143.0
2023-01-01 15:00:00,7.2,43.0
2023-01-01 16:00:00,12.3,0.0
2023-01-01 17:00:00,13.0,0.0
2023-01-01 18:00:00,12.8,0.0
2023-01-01 19:00:00,12.4,0.0
2023-01-01 20:00:00,12.7,0.0
2023-01-01 21:00:00,12.1,0.0
2023-01-01 22:00:00,12.1,0.0
2023-01-01 23:00:00,13.6,0.0
2023-01-02 00:00:00,13.4,0.0
2023-01-02 01:00:00,12.6,0.0
2023-01-02 02:00:00,14.1,0.0
2023-01-02 03:00:00,15.3,0.0
2023-01-02 04:00:00,13.7,0.0
2023-01-02 05:00:00,13.3,0.0
2023-01-02 06:00:00,13.7,0.0
2023-01-02 07:00:00,14.8,1.0
2023-01-02 08:00:00,15.6,13.0
2023-01-02 09:00:00,16.8,56.0
2023-01-02 10:00:00,15.3,86.0
2023-01-02 11:00:00,13.9,98.0
2023-01-02 12:00:00,10.7,110.0
2023-01-02 13:00:00,10.2,68.0
2023-01-02 14:00:00,7.4,42.0
2023-01-02 15:00:00,3.6,10.0
2023-01-02 16:00:00,4.9,0.0
2023-01-02 17:00:00,6.1,0.0
2023-01-02 18:00:00,4.0,0.0
2023-01-02 19:00:00,6.4,0.0
2023-01-02 20:00:00,11.8,0.0
2023-01-02 21:00:00,14.3,0.0
2023-01-02 22:00:00,11.8,0.0
2023-01-02 23:00:00,8.7,0.0
2023-01-03 00:00:00,5.1,0.0
2023-01-03 01:00:00,5.6,0.0
2023-01-03 02:00:00,5.8,0.0
2023-01-03 03:00:00,8.2,0.0
2023-01-03 04:00:00,10.7,0.0
2023-01-03 05:00:00,11.1,0.0
2023-01-03 06:00:00,10.6,0.0
2023-01-03 07:00:00,10.7,0.0
2023-01-03 08:00:00,12.2,29.0
2023-01-03 09:00:00,14.0,123.0
2023-01-03 10:00:00,14.7,167.0
2023-01-03 11:00:00,14.8,173.0
2023-01-03 12:00:00,13.3,158.0
2023-01-03 13:00:00,13.8,40.0
2023-01-03 14:00:00,10.9,39.0
2023-01-03 15:00:00,9.9,18.0
2023-01-03 16:00:00,10.2,0.0
2023-01-03 17:00:00,9.2,0.0
2023-01-03 18:00:00,8.4,0.0
2023-01-03 19:00:00,8.9,0.0
2023-01-03 20:00:00,8.5,0.0
2023-01-03 21:00:00,10.0,0.0
2023-01-03 22:00:00,11.0,0.0
2023-01-03 23:00:00,12.0,0.0
2023-01-04 00:00:00,10.4,0.0
2023-01-04 01:00:00,9.9,0.0
2023-01-04 02:00:00,9.5,0.0
2023-01-04 03:00:00,9.9,0.0
2023-01-04 04:00:00,9.7,0.0
2023-01-04 05:00:00,9.2,0.0
2023-01-04 06:00:00,6.6,0.0
2023-01-04 07:00:00,5.0,1.0
2023-01-04 08:00:00,1.1,53.0
2023-01-04 09:00:00,3.6,149.0
2023-01-04 10:00:00,6.7,243.0
2023-01-04 11:00:00,8.4,285.0
2023-01-04 12:00:00,9.1,284.0
